name,album,artist,release_date,length,popularity,key,mode,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,valence,answer
weeeek,歌うたいが歌うたいに来て 歌うたえと言うが 歌うたいが歌うたうだけうたい切れば 歌うたうけれども 歌うたいだけ 歌うたい切れないから 歌うたわぬ!?,GReeeeN,2012-01-01,213093,56,1,1,0.636,0.00102,0.929,0,0.0615,-2.812,0.0413,109.98,4,0.932,summer
ワタリドリ,ALXD,[Alexandros],2015-06-17,248706,64,9,1,0.508,0.00141,0.964,0,0.197,-4.077,0.0831,134.982,4,0.609,summer
キンモクセイ,イラつくときはいつだって,オレンジスパイニクラブ,2020-01-22,231933,59,5,1,0.544,0.092,0.761,0,0.18,-3.936,0.0362,105.035,4,0.322,summer
ソーダ,I co Y,sumika,2014-11-12,233240,0,8,1,0.219,0.00477,0.941,0,0.0851,-0.379,0.0852,216.196,4,0.611,summer
君と夏フェス,SHISHAMO BEST,SHISHAMO,2019-06-19,224960,53,5,1,0.379,0.00418,0.977,0.0000011,0.0755,-2.622,0.057,177.758,4,0.766,summer
君と羊と青,絶体絶命,RADWIMPS,2011-03-09,158186,58,8,1,0.412,0.00011,0.964,0.00052,0.157,-2.274,0.101,164.042,4,0.778,summer
真夏のSounds good !,真夏のSounds good !<Type-A>(通常盤),AKB48,2012-05-23,275306,33,5,0,0.542,0.146,0.965,0.00000124,0.0791,-1.906,0.131,148.23,4,0.551,summer
GO GO サマー!,スーパーガール,KARA,2011-01-01,200533,51,11,0,0.556,0.000655,0.93,0.00667,0.331,-2.74,0.0579,144.982,4,0.398,summer
summertime,summertime,cinnamons,2017-08-07,251818,45,3,1,0.688,0.104,0.704,0,0.0672,-6.315,0.0303,131.969,4,0.849,summer
Follow Me,Lesson 1,E-girls,2013-04-17,246160,49,7,1,0.644,0.111,0.945,0,0.09,-2.008,0.0384,142.958,4,0.744,summer
裸足でSummer,裸足でSummer (Special Edition),Nogizaka46,2016-07-20,277933,52,5,1,0.525,0.125,0.981,0,0.133,-2.956,0.12,139.973,4,0.523,summer
ガールズルール,ガールズルール TypeA,Nogizaka46,2013-07-03,290120,41,8,0,0.398,0.0404,0.98,0.00000723,0.33,-2.306,0.083,167.976,4,0.457,summer
Make you happy,Make you happy,NiziU,2020-06-30,184520,51,7,1,0.78,0.0436,0.885,0.000028,0.105,-3.745,0.122,160.087,4,0.808,summer
Fanfare,Fanfare,TWICE,2020-06-19,220240,55,6,1,0.669,0.0302,0.956,0.00000978,0.0764,-2.49,0.126,114.922,4,0.81,summer
ミュージック・アワー,PORNO GRAFFITTI BEST RED'S,PornoGraffitti,2004-07-28,275866,55,0,1,0.623,0.0816,0.971,0,0.562,-4.156,0.0552,134.952,4,0.912,summer
サウダージ,PORNO GRAFFITTI BEST RED'S,PornoGraffitti,2004-07-28,261239,61,4,0,0.616,0.0508,0.96,0,0.341,-4.558,0.0508,119.921,4,0.706,summer
シンクロニシティ,シンクロニシティ (Special Edition),Nogizaka46,2018-04-18,254880,55,0,1,0.571,0.603,0.923,0,0.0585,-3.639,0.04,135.94,4,0.466,summer
Love so sweet,Love so sweet,ARASHI,2007-02-21,289845,55,0,1,0.584,0.1,0.849,0,0.304,-3.983,0.0403,139.032,4,0.707,summer
A・RA・SHI,ARASHI NO.1 (ICHIGOU) -嵐は嵐を呼ぶ-,ARASHI,2001-01-24,267069,50,9,1,0.439,0.0305,0.953,0,0.132,-4.133,0.157,120.432,4,0.475,summer
WanteD! WanteD!,WanteD! WanteD!,Mrs. GREEN APPLE,2017-08-29,217626,42,0,1,0.551,0.0248,0.801,0,0.0474,-2.826,0.0523,160.048,4,0.62,summer
トリコ,トリコ / Relax & Chill,Nissy,2018-09-30,232439,57,2,1,0.632,0.0855,0.799,0,0.061,-3.436,0.036,90.016,4,0.719,summer
Speaking,TWELVE,Mrs. GREEN APPLE,2016-01-13,229240,53,2,1,0.436,0.000166,0.896,0,0.0757,-2.15,0.0928,173.015,4,0.771,summer
R.Y.U.S.E.I.,PLANET SEVEN,J SOUL BROTHERS III,2015-01-28,325773,54,5,0,0.582,0.0102,0.947,0.00000763,0.455,-2.82,0.0581,127.991,4,0.558,summer
インフルエンサー,インフルエンサー(Special Edition),Nogizaka46,2017-03-15,270093,53,3,0,0.349,0.557,0.853,0,0.313,-3.759,0.0481,131.966,4,0.675,summer
ともに,Everybody!!,WANIMA,2018-01-17,207368,63,6,1,0.553,0.00257,0.968,0,0.28,-2.57,0.0534,127.077,4,0.862,summer
CHE.R.RY,ORANGE GARDEN POP,YUI,2012,214706,48,5,1,0.651,0.322,0.901,0.000771,0.215,-3.281,0.0293,109.14,4,0.627,summer
SUMMER SONG,ORANGE GARDEN POP,YUI,2012,207693,46,5,0,0.635,0.217,0.836,0.00000314,0.111,-3.952,0.0297,107.979,4,0.847,summer
"Aloha, E Komo Mai",Disney Island Music,HIRAIDAI,2014-06-04,149840,47,7,1,0.722,0.105,0.934,0,0.185,-4.123,0.154,104.995,4,0.885,summer
君がくれた夏,WE,Leo Ieiri,2016-07-06,258680,58,1,1,0.51,0.31,0.615,0,0.117,-4.207,0.0283,169.814,4,0.463,summer
紅蓮華,LEO-NiNE,LiSA,2020-10-14,237586,75,4,0,0.541,0.00321,0.977,0.0000513,0.0796,-2.828,0.157,134.938,4,0.263,summer
夜に駆ける,THE BOOK,YOASOBI,2021-01-06,258838,76,8,1,0.663,0.00299,0.871,0.0000018,0.337,-5.287,0.03,130.025,4,0.826,summer
インフェルノ,Attitude,Mrs. GREEN APPLE,2019-10-01,211600,68,4,1,0.533,0.00894,0.918,0,0.643,-2.095,0.0616,92.504,4,0.662,summer
ピースサイン,BOOTLEG,Kenshi Yonezu,2017-11-01,238533,71,10,0,0.593,0.00221,0.935,0,0.315,-3.853,0.0684,100.003,4,0.618,summer
LOSER,BOOTLEG,Kenshi Yonezu,2017-11-01,243813,63,1,0,0.679,0.00466,0.931,0,0.0652,-3.74,0.0474,121.001,4,0.962,summer
打上花火,THANK YOU BLUE,Daoko,2017-12-20,289577,63,6,1,0.625,0.288,0.668,0,0.107,-4.315,0.0249,95.968,4,0.292,summer
ないものねだり,KANA-BOON THE BEST,KANA-BOON,2020-03-04,262693,51,9,1,0.479,0.000232,0.768,0.00958,0.0966,-3.708,0.0854,174.85,4,0.561,summer
完全感覚Dreamer,Nicheシンドローム,ONE OK ROCK,2010-06-09,252200,56,6,0,0.558,0.000191,0.914,0,0.132,-3.395,0.0996,94.975,4,0.711,summer
会心の一撃,×と○と罪と,RADWIMPS,2013-12-11,276506,51,1,1,0.468,0.00116,0.993,0.000745,0.329,-1.018,0.153,95.965,4,0.375,summer
バトンロード,NAMiDA,KANA-BOON,2017-09-27,280240,52,1,1,0.361,0.000504,0.946,0.000172,0.343,-3.516,0.0759,161.92,4,0.39,summer
シルエット,TIME,KANA-BOON,2015-01-21,240133,73,2,1,0.436,0.0000103,0.934,0.14,0.321,-2.685,0.0507,91.481,4,0.384,summer
世界はあなたに笑いかけている,Flava,Little Glee Monster,2019-01-16,232773,52,8,1,0.789,0.434,0.888,0,0.155,-3.024,0.101,120.957,4,0.763,summer
I WANT YOU BACK,BDZ,TWICE,2018-09-12,203815,53,10,0,0.713,0.0148,0.848,0,0.0808,-1.94,0.0338,106.093,4,0.787,summer
Heart Shaker,Merry & Happy,TWICE,2017-12-11,186895,55,8,1,0.563,0.0949,0.945,0,0.216,-0.387,0.0635,164.077,4,0.865,summer
明日も,SHISHAMO 4,SHISHAMO,2017-02-22,369320,58,1,1,0.415,0.0142,0.857,0,0.0772,-1.696,0.048,178.919,4,0.663,summer
だから、ひとりじゃない,juice,Little Glee Monster,2018-01-17,231400,45,8,1,0.508,0.0631,0.904,0,0.0852,-3.655,0.105,89.762,4,0.554,summer
まだ君は知らない MY PRETTIEST GIRL,まだ君は知らない MY PRETTIEST GIRL,Nissy,2016-08-24,264266,51,7,1,0.5,0.087,0.83,0,0.329,-3.826,0.048,163.984,4,0.579,summer
ノーダウト,エスカパレード,Official HIGE DANdism,2018-04-11,202394,65,2,1,0.574,0.0585,0.936,0,0.336,-3.185,0.0701,149.954,4,0.792,summer
白日,CEREMONY,King Gnu,2020-01-15,276373,67,1,1,0.599,0.562,0.891,0,0.322,-3.242,0.116,93.029,4,0.694,summer
全力少年,空創クリップ,Sukima Switch,2005-07-20,272746,65,2,1,0.639,0.25,0.79,0,0.299,-4.156,0.0263,133.948,4,0.733,summer
小さな恋のうた,MESSAGE,MONGOL800,2001-09-16,222640,65,11,1,0.403,0.00203,0.778,0,0.227,-4.856,0.0395,115.581,4,0.628,summer
悲しみなんて笑い飛ばせ,ファンキーモンキーヘ?イヒ?ース? 4,FUNKY MONKEY BABYS,2011-12-21,314800,53,10,1,0.506,0.0238,0.988,0,0.288,-1.726,0.0528,168.055,4,0.857,summer
Summer Paradise (feat. Taka from One OK Rock),Summer Paradise (feat. Taka from One OK Rock),Simple Plan,2013-03-20,234106,39,2,1,0.488,0.0291,0.824,0,0.115,-4.474,0.038,85.888,4,0.79,summer
1 2 3 ?恋がはじまる?,I,Ikimonogakari,2013-07-24,297600,38,5,1,0.563,0.126,0.868,0,0.0914,-2.185,0.0393,78.983,4,0.759,summer
マイサンシャインストーリー,I,Ikimonogakari,2013-07-24,325346,33,2,1,0.545,0.0565,0.902,0,0.335,-2.561,0.0432,166.056,4,0.708,summer
ブルーベリー・ナイツ,hope,Macaroni Empitsu,2020-04-01,244869,66,5,1,0.66,0.278,0.865,0,0.0931,-3.642,0.0277,106.008,4,0.772,summer
恋人ごっこ,hope,Macaroni Empitsu,2020-04-01,200219,67,1,1,0.438,0.124,0.646,0,0.0603,-5.301,0.0361,102.033,4,0.745,summer
ミラクル,Delight,miwa,2013-05-22,280213,43,4,0,0.547,0.0664,0.863,0,0.183,-2.572,0.0334,144.995,4,0.727,summer
君に出会えたから,ONENESS,miwa,2015-04-08,281493,40,7,1,0.635,0.126,0.911,0,0.15,-3.189,0.095,140.021,4,0.31,summer
真夏の太陽,V,Sakurako Ohara,2016-06-29,249733,39,5,1,0.55,0.0111,0.934,0,0.361,-2.538,0.0485,139.967,4,0.669,summer
ナツコイ,JUKE BOX,Sonoko Inoue,2017-12-05,302586,46,5,1,0.38,0.328,0.877,0,0.168,-3.596,0.084,205.916,4,0.731,summer
だいすき。,Hello,Sonoko Inoue,2016-03-16,269653,45,4,1,0.638,0.289,0.807,0,0.165,-3.36,0.0369,105.985,4,0.81,summer
明日も,明日も,MUSH&Co.,2013-12-04,253300,36,9,1,0.458,0.00679,0.889,0,0.324,-2.171,0.0546,154.95,4,0.509,summer
テトテ,テトテ,whiteeeen,2017-05-10,251866,39,7,1,0.53,0.00163,0.831,0.0000733,0.277,-3.985,0.0324,81.551,4,0.634,summer
テトテとテントテン,テトテとテントテン,GReeeeN,2017-05-24,248106,37,9,1,0.543,0.042,0.97,0,0.374,-2.594,0.108,169.919,4,0.769,summer
Faith,ONENESS,miwa,2015-04-08,306013,33,8,1,0.563,0.0104,0.934,0.0264,0.355,-2.777,0.087,90.043,4,0.678,summer
LIFE - Last Summer ver.,LAST SUMMER DAYS ~きまぐれBEST~,Kimaguren,2015-07-01,263506,28,3,1,0.628,0.064,0.924,0,0.297,-4.343,0.0416,127.976,4,0.636,summer
群青,THE BOOK,YOASOBI,2021-01-06,248026,74,10,1,0.725,0.305,0.853,0,0.115,-3.193,0.0516,134.991,4,0.707,summer
睡蓮花,湘南乃風 ?JOKER?,Shonan No Kaze,2009-04-08,434560,54,1,1,0.517,0.25,0.976,0,0.092,-2.984,0.435,156.119,4,0.354,summer
イケナイ太陽,PANIC FANCY,ORANGE RANGE,2008-07-09,239186,0,4,0,0.512,0.000301,0.942,0.00000126,0.133,-4.336,0.0451,145.062,4,0.833,summer
夏のどこかへ,COMINATCHA!!,WANIMA,2019-10-23,238917,47,7,1,0.549,0.00174,0.939,0,0.32,-3.19,0.0577,97.451,4,0.579,summer
やってみよう,やってみよう,WANIMA,2017,169866,0,0,1,0.592,0.00266,0.918,0,0.215,-2.935,0.0619,129.392,4,0.663,summer
かわE,Tank-top Festival in JAPAN,Yabai T-Shirts Yasan,2018-12-19,201760,50,1,1,0.602,0.0334,0.989,0.000197,0.116,-1.005,0.0557,97.414,4,0.648,summer
What is Love?,Summer Nights,TWICE,2018-07-09,208238,60,8,1,0.573,0.0846,0.91,0,0.266,-1.578,0.064,169.982,4,0.602,summer
睡蓮花,睡蓮花,Shonan No Kaze,2007-06-06,435186,44,1,1,0.483,0.126,0.986,0,0.0825,-2.446,0.363,156.147,4,0.359,summer
イケナイ太陽,PANIC FANCY,ORANGE RANGE,2008-07-09,239186,61,4,0,0.512,0.000301,0.942,0.00000126,0.133,-4.336,0.0451,145.062,4,0.833,summer
ファンファーレ,ファンファーレ / 春夏秋冬,sumika,2018-08-29,187480,55,3,1,0.629,0.0282,0.945,0,0.252,-2.354,0.0487,109.092,4,0.715,summer
Everyday、カチューシャ,1830m,AKB48,2012-08-15,316373,46,3,1,0.369,0.0765,0.964,0,0.22,-3.202,0.0987,172.492,4,0.274,summer
Dance The Night Away,Summer Nights,TWICE,2018-07-09,180809,57,0,1,0.711,0.106,0.861,0.000044,0.112,-2.905,0.0924,118.004,4,0.78,summer
風になって,Where's My History?,[Alexandros],2021-03-17,262133,51,6,1,0.507,0.00819,0.914,0,0.132,-4.389,0.0706,138.975,4,0.381,summer
Poppin' Shakin',Poppin' Shakin',NiziU,2021-02-20,192754,54,4,1,0.781,0.0921,0.865,0.0169,0.0879,-5.218,0.0798,123.986,4,0.746,summer
ナギイチ,ナギイチ(劇場盤),NMB48,2012-05-09,247986,0,7,1,0.363,0.0583,0.982,0.0055,0.377,-1.795,0.0998,167.959,4,0.34,summer
Dynamite,BE,BTS,2020-11-20,199053,12,6,0,0.746,0.0112,0.765,0,0.0936,-4.41,0.0993,114.044,4,0.737,summer
Butter,"Butter (Hotter, Sweeter, Cooler)",BTS,2021-06-04,164441,12,8,1,0.759,0.00323,0.459,0,0.0906,-5.187,0.0948,109.997,4,0.695,summer
花占い,花占い,Vaundy,2021-07-05,207555,1,7,0,0.662,0.0141,0.789,0,0.317,-7.634,0.0305,135.01,4,0.881,summer
三原色,三原色,YOASOBI,2021-07-02,224066,64,5,0,0.443,0.128,0.893,0,0.328,-3.496,0.154,127.999,4,0.826,summer
Permission to Dance,Butter / Permission to Dance,BTS,2021-07-09,187585,8,9,1,0.702,0.00544,0.741,0,0.337,-5.33,0.0427,124.925,4,0.646,summer
きらり,きらり,Fujii Kaze,2021-05-03,231882,66,2,1,0.746,0.00803,0.764,0,0.357,-6.833,0.0462,116.982,4,0.701,summer
ロコローション,musiQ,ORANGE RANGE,2004-12-01,196866,55,11,1,0.682,0.026,0.895,0,0.108,-3.173,0.0973,140.005,4,0.821,summer
オレンジ,歌うたいが歌うたいに来て 歌うたえと言うが 歌うたいが歌うたうだけうたい切れば 歌うたうけれども 歌うたいだけ 歌うたい切れないから 歌うたわぬ!?,GReeeeN,2012-01-01,226200,54,6,0,0.491,0.0321,0.95,0,0.167,-4.573,0.231,181.963,4,0.486,summer
第六感,第六感,Reol,2020-07-27,191624,61,7,1,0.675,0.00893,0.959,0.0000848,0.325,-1.754,0.0835,134.017,4,0.835,summer
新宝島,魚図鑑,sakanaction,2018-03-28,302493,53,7,0,0.557,0.00118,0.917,0.00914,0.419,-3.426,0.0757,158,4,0.653,summer
サイハテアイニ,サイハテアイニ / 洗脳,RADWIMPS,2017-05-10,221920,47,0,1,0.188,0.000709,0.958,0,0.339,-1.884,0.2,193.526,3,0.353,summer
夏夜のマジック,藍色ミュージック,indigo la End,2016-06-08,305640,59,2,0,0.465,0.222,0.818,0,0.216,-3.855,0.0385,80.024,4,0.669,summer
The Feels,Formula of Love: O+T=<3,TWICE,2021-11-12,198053,63,9,1,0.808,0.0899,0.903,0,0.0816,-2.179,0.0729,120.044,4,0.922,summer
ELEVEN,ELEVEN,IVE,2021-12-01,178453,80,9,1,0.828,0.0617,0.731,0,0.048,-3.033,0.111,119.978,4,0.587,summer
Sunny drop,Sunny drop,Novelbright,2020-08-17,242333,44,6,1,0.497,0.00071,0.918,0,0.155,-2.689,0.0377,100.024,4,0.582,summer
気まぐれロマンティック,気まぐれロマンティック,Ikimonogakari,2008,245266,43,2,1,0.546,0.139,0.878,0,0.295,-2.451,0.0474,85.101,4,0.683,summer
ミックスナッツ,ミックスナッツ,Official HIGE DANdism,2022-04-15,213438,75,6,1,0.542,0.0101,0.918,0,0.259,-5.074,0.0937,150.094,4,0.784,summer
ラブホテル,クリープハイプ名作選,Creep Hyp,2014-03-12,230789,50,10,1,0.529,0.0844,0.708,0,0.36,-3.658,0.0384,133.928,4,0.619,summer
たましいの居場所,たましいの居場所,Macaroni Empitsu,2022-06-17,201535,62,0,1,0.643,0.223,0.827,0,0.0848,-4.531,0.0357,103.434,4,0.731,summer
ダンスホール,ダンスホール,Mrs. GREEN APPLE,2022-05-23,203149,77,7,1,0.736,0.0209,0.695,0,0.0517,-3.87,0.0468,109.976,4,0.784,summer
気分上々↑↑,mihimagic,Mihimaru GT,2006-09-13,229586,57,5,0,0.652,0.222,0.967,0,0.281,-3.405,0.0986,125.018,4,0.847,summer
新時代 - ウタ from ONE PIECE FILM RED,新時代 (ウタ from ONE PIECE FILM RED),Ado,2022-06-08,228214,78,7,1,0.494,0.0505,0.986,0.00000441,0.334,-2.262,0.243,175.003,4,0.421,summer
開幕宣言,開幕宣言,Novelbright,2021-04-26,279773,53,6,1,0.455,0.0393,0.966,0,0.104,-1.17,0.0583,134.959,4,0.572,summer
未来図,未来図,マルシィ,2022-04-27,229586,54,3,1,0.667,0.182,0.554,0,0.0847,-6.898,0.0404,77.983,4,0.654,summer
歓声をさがして,歓声をさがして,My Hair is Bad,2022-03-26,233173,43,3,1,0.498,0.00723,0.952,0,0.286,-3.841,0.0901,77.494,4,0.592,summer
サイダー,サイダー,Motohiro Hata,2022-07-06,267782,42,5,1,0.589,0.153,0.64,0.0000223,0.11,-4.759,0.0392,182.087,4,0.491,summer
どうして,どうして,Novelbright,2022-08-10,272840,56,8,1,0.345,0.179,0.718,0,0.391,-3.182,0.0397,77.523,4,0.347,summer
つばさ,ニューマニア,ハルカミライ,2022-03-09,273346,38,0,1,0.338,0.000556,0.895,0,0.339,-3.572,0.0656,176.918,4,0.335,summer
栞,泣きたくなるほど嬉しい日々に,Creep Hyp,2018-09-26,261546,63,6,1,0.505,0.0117,0.883,0,0.0578,-3.094,0.0481,100.496,4,0.666,summer
Rainy Runway,Rainy Runway,KIRINJI,2022-06-22,241680,49,2,1,0.82,0.373,0.557,0.0374,0.16,-7.432,0.0303,106.966,4,0.549,summer
Force,Force,TOMORROW X TOGETHER,2021-01-09,239760,53,2,1,0.734,0.000935,0.872,0,0.324,-4.133,0.0908,131.989,4,0.658,summer
Grow Old With Me,Grow Old With Me,SHE'S,2022-05-18,202813,48,0,1,0.614,0.0178,0.847,0,0.274,-4.686,0.0419,156.019,4,0.933,summer
Rock The World,But wait. Cats?,[Alexandros],2022-07-13,268440,45,10,1,0.373,0.0066,0.896,0,0.13,-2.433,0.0841,182.08,4,0.636,summer
シンデレラ,SODA POP FANCLUB 4,Cidergirl,2021-12-01,213053,55,7,1,0.58,0.00968,0.941,0,0.317,-3.799,0.0595,129.988,4,0.769,summer
GILA GILA,Queendom,Awich,2022-03-04,253333,55,11,1,0.854,0.0293,0.783,0,0.322,-5.963,0.23,132.026,4,0.431,summer
ちらばれ!サマーピーポー,ちらばれ!サマーピーポー,Yabai T-Shirts Yasan,2022-05-04,232522,41,2,1,0.476,0.0119,0.992,0.00000573,0.36,-0.611,0.116,180.072,4,0.487,summer
up!!!!!!,up!!!!!!,Sukima Switch,2022-07-09,242986,38,1,0,0.69,0.0472,0.862,0.00000525,0.0545,-5.024,0.0418,115.995,4,0.865,summer
VIBES BY VIBES,10-feat,10-FEET,2022-03-23,236013,40,9,1,0.509,0.00076,0.975,0,0.629,-3.023,0.0948,108.988,4,0.428,summer
透明少女,SCHOOL GIRL DISTORTIONAL ADDICT,Number Girl,1999-07-23,201200,43,4,1,0.126,0.0000525,0.886,0.837,0.13,-7.133,0.0513,182.009,4,0.492,summer
雨燦々,雨燦々,King Gnu,2022-07-15,295681,74,10,1,0.494,0.354,0.862,0.00431,0.13,-4.608,0.041,94.99,4,0.587,summer
ベテルギウス,ベテルギウス,Yuuri,2021-11-04,230393,67,5,1,0.432,0.199,0.68,0,0.481,-4.839,0.0431,180.002,4,0.685,summer
Migratory Bird,Migratory Bird,WONK,2022-04-27,216122,34,4,1,0.371,0.849,0.254,0.000247,0.198,-14.531,0.033,96.398,4,0.32,summer
ミラーチューン,ミラーチューン,ZUTOMAYO,2022-04-07,249273,61,0,0,0.704,0.357,0.933,0,0.353,-2.383,0.0863,127.965,4,0.895,summer
ポラリス,Q.E.D,BLUE ENCOUNT,2020-11-18,224213,65,8,1,0.534,0.00204,0.941,0.00615,0.102,-2.561,0.077,95.008,4,0.573,summer
Save Yourself,Save Yourself,ONE OK ROCK,2022-06-24,197995,56,5,1,0.56,0.00802,0.859,0,0.0541,-2.747,0.0694,82.52,4,0.768,summer
光るとき,our hope,Hitsujibungaku,2022-04-20,351880,48,2,1,0.224,0.036,0.778,0.0000896,0.115,-4.238,0.0448,88.738,3,0.212,summer
Lost Game,2ND GALAXY,Nulbarich,2019-11-06,243573,51,1,1,0.61,0.0536,0.509,0,0.0754,-8.63,0.027,129.943,4,0.224,summer
ヤバみ,Galaxy of the Tank-top,Yabai T-Shirts Yasan,2018-01-10,210880,42,6,0,0.284,0.00363,0.997,0.000298,0.268,-1.742,0.207,178.018,4,0.198,summer
青いの。,青いの。,go!go!vanillas,2022-03-16,247133,55,5,0,0.528,0.000292,0.773,0,0.113,-4.385,0.0427,118.927,4,0.652,summer
愛とか恋とか,Assort,Novelbright,2022-05-16,232453,72,6,1,0.697,0.698,0.556,0,0.0991,-5.089,0.0364,89.987,4,0.404,summer
MONSTER DANCE,HOT!,KEYTALK,2015-05-20,273000,46,2,1,0.321,0.000199,0.929,0.0000614,0.23,-2.713,0.0894,156.486,4,0.512,summer
夜永唄 ? From THE FIRST TAKE,夜永唄 ? From THE FIRST TAKE,KAMI WA SAIKORO WO FURANAI,2020-08-16,323240,33,11,1,0.486,0.82,0.276,0,0.105,-6.497,0.0418,113.045,4,0.495,summer
夜の蝶,KTEP4,KEYTALK,2022-05-25,209613,38,6,1,0.473,0.00184,0.853,0.0000025,0.343,-2.374,0.132,175.912,4,0.654,summer
青と夏,青と夏,Mrs. GREEN APPLE,2018-07-31,270506,46,4,1,0.31,0.00184,0.887,0,0.291,-1.654,0.0463,184.91,4,0.745,summer
空も飛べるはず,CYCLE HIT 1991-1997 Spitz Complete Single Collection,SPITZ,2006-03-25,271400,62,0,1,0.593,0.0424,0.81,0.00000283,0.119,-4.389,0.0278,114.936,4,0.67,summer
わたがし,アンコール,back number,2016-12-28,262000,54,0,1,0.69,0.0511,0.825,0,0.0356,-2.687,0.0401,124.015,4,0.61,summer
シンデレラボーイ,レイジーサンデー,Saucy Dog,2021-08-25,234323,76,9,1,0.596,0.0748,0.735,0,0.269,-6.362,0.0332,108.106,4,0.524,summer
Seven Deadly Sins,The World's On Fire,MAN WITH A MISSION,2016-02-10,207000,57,8,0,0.368,0.00497,0.967,0,0.223,-1.199,0.15,142.887,3,0.345,summer
ハッピーエンド,ハッピーエンド,SHISHAMO,2022-07-13,327076,44,10,0,0.448,0.0634,0.784,0,0.106,-3.772,0.0583,169.852,4,0.55,summer
愛を伝えたいだとか,青春のエキサイトメント,Aimyon,2017-09-12,235240,65,2,1,0.673,0.0345,0.85,0.0000114,0.0943,-5.021,0.0337,100.008,4,0.793,summer
あいつら全員同窓会,あいつら全員同窓会,ZUTOMAYO,2021-06-18,254506,63,2,0,0.724,0.453,0.913,0,0.052,-2.836,0.118,130.968,4,0.913,summer
湘南乃「海 その愛」,湘南乃「海 その愛」,Shonan No Kaze,2021-06-12,399493,29,8,1,0.538,0.026,0.854,0,0.35,-4.027,0.0377,147.988,4,0.853,summer
天体観測,jupiter,BUMP OF CHICKEN,2002-02-20,263600,63,1,1,0.366,0.381,0.949,0,0.0902,-3.552,0.11,164.979,4,0.467,summer
Part Time Summer,Part Time Summer,THREE1989,2019-07-24,274000,21,10,0,0.795,0.0367,0.486,0.00000683,0.0516,-9.194,0.074,95.031,4,0.513,summer
パンナコッタ&ラズベリー,パンナコッタ&ラズベリー,Akusa,2019-07-29,185000,30,7,1,0.909,0.706,0.395,0.00000107,0.0929,-9.658,0.343,96.026,4,0.81,summer
マジックアワー,マジックアワー,STUTS,2019-07-19,219928,0,1,0,0.856,0.381,0.766,0.00046,0.208,-5.857,0.0485,105,4,0.719,summer
