name,album,artist,release_date,length,popularity,key,mode,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,valence,answer
Subtitle,Subtitle,Official HIGE DANdism,2022-10-12,305509,67,6,1,0.649,0.0313,0.683,0,0.118,-6.49,0.0424,130,4,0.381,winter
花束,スーパースター,back number,2011-10-26,286053,63,2,1,0.519,0.0178,0.713,0,0.353,-3.612,0.0324,159.963,4,0.505,winter
ハッピーエンド,アンコール,back number,2016-12-28,314146,60,6,0,0.359,0.047,0.648,0.00000243,0.16,-3.36,0.0373,78.308,4,0.336,winter
愛をこめて花束を,Superfly,Superfly,2007-04-04,295600,62,7,1,0.37,0.151,0.8,0.00000333,0.089,-3.403,0.0436,161.934,4,0.451,winter
Laughter,Laughter,Official HIGE DANdism,2020-07-10,350299,52,4,1,0.396,0.023,0.801,0,0.138,-4.673,0.035,159.769,4,0.366,winter
裸の心,おいしいパスタがあると聞いて,Aimyon,2020-09-09,296653,62,8,1,0.559,0.537,0.448,0.0000185,0.0915,-4.11,0.0275,148.02,4,0.354,winter
"Stand by me, Stand by you.","Stand by me, Stand by you.",HIRAIDAI,2020-09-09,193012,59,3,1,0.594,0.0892,0.568,0,0.0535,-5.423,0.0383,161.887,4,0.58,winter
恋音と雨空,AAA Special Live 2016 in Dome -FANTASTIC OVER- SET LIST,AAA,2017-01-18,316186,47,1,1,0.625,0.0512,0.86,0,0.408,-4.456,0.0314,129.064,4,0.533,winter
ビリーヴ,ビリーヴ,Che'Nelle,2012-06-29,277160,55,2,1,0.466,0.506,0.688,0,0.0877,-3.403,0.0357,143.677,4,0.41,winter
恋におちたら,Call me Miss...,Crystal Kay,2006-02-22,268786,0,8,1,0.575,0.0304,0.869,0,0.0815,-5.434,0.036,101.986,4,0.598,winter
さよならの前に,GOLD SYMPHONY,AAA,2014-10-01,320373,55,1,1,0.545,0.0364,0.853,0,0.117,-4.699,0.029,98.02,4,0.525,winter
HAPPY BIRTHDAY,MAGIC,back number,2019-03-27,258333,66,11,1,0.482,0.0702,0.602,0,0.0677,-4.365,0.0303,145.988,4,0.535,winter
瞬き,MAGIC,back number,2019-03-27,325040,60,3,1,0.329,0.00634,0.811,0,0.306,-3.276,0.063,119.961,3,0.395,winter
花束を君に,Fantome,Hikaru Utada,2016-09-28,278240,54,4,1,0.521,0.538,0.539,0,0.307,-7.667,0.029,81.979,4,0.358,winter
プラネタリウム,LOVE COOK,Ai Otsuka,2005-12-14,307833,58,2,0,0.375,0.267,0.576,0.0000338,0.101,-5.741,0.0364,197.899,4,0.503,winter
ハナミズキ,ヒトトウタ,Yo Hitoto,2015-07-22,330293,56,4,1,0.49,0.451,0.451,0,0.343,-5.47,0.0288,139.722,4,0.299,winter
Myra,Myra,Tani Yuuki,2020-07-01,255000,56,0,1,0.683,0.71,0.318,0.0000905,0.167,-13.335,0.0349,144.027,4,0.587,winter
115万キロのフィルム,エスカパレード,Official HIGE DANdism,2018-04-11,324633,72,3,1,0.516,0.00345,0.791,0,0.141,-1.927,0.0318,96.921,4,0.48,winter
愛唄,あっ、ども。はじめまして。,GReeeeN,2007-01-01,236253,61,8,1,0.505,0.0839,0.791,0,0.187,-3.729,0.0308,169.964,4,0.425,winter
366日,HeartY,HY,2008-04-16,352506,60,8,1,0.378,0.675,0.426,0,0.207,-7.314,0.0308,152.03,4,0.184,winter
チェリー,インディゴ地平線,SPITZ,1996,259933,66,0,1,0.646,0.227,0.805,0.0000195,0.0901,-3.422,0.0292,97.201,4,0.748,winter
I LOVE YOU,Song for You,Chris Hart,2014-03-19,311453,52,5,1,0.303,0.579,0.452,0,0.0847,-5.877,0.0341,71.409,3,0.253,winter
Y,55,C&K,2017-07-25,306133,47,2,1,0.553,0.737,0.358,0.00000333,0.0957,-7.855,0.0415,135.478,4,0.169,winter
Love so sweet,Time,ARASHI,2007-07-11,289845,57,0,1,0.584,0.1,0.849,0,0.304,-3.983,0.0403,139.032,4,0.707,winter
Happiness,シェネル・ワールド,Che'Nelle,2015-02-11,274026,58,9,1,0.603,0.386,0.748,0,0.329,-1.559,0.0426,139.911,4,0.511,winter
ベイビー・アイラブユー,Kido I Raku,TEE,2010-01-01,305386,55,1,1,0.518,0.705,0.665,0,0.1,-4.199,0.0379,93.301,4,0.429,winter
Soup,PLAY,Sakura Fujiwara,2017-05-10,249000,53,10,1,0.572,0.189,0.676,0.00213,0.15,-5.707,0.0312,168.18,4,0.747,winter
あなたのキスを数えましょう ~You were mine~,Request II,JUJU,2014-12-03,358573,0,9,1,0.552,0.343,0.449,0,0.237,-5.164,0.0271,127.86,4,0.23,winter
奏(かなで),夏雲ノイズ,Sukima Switch,2004-06-23,328626,63,10,1,0.519,0.553,0.666,0.000169,0.0948,-6.163,0.0262,149.839,4,0.461,winter
LOOP,SIRUP EP2,SIRUP,2018-08-01,306103,0,11,1,0.688,0.2,0.401,0.000134,0.109,-9.132,0.0677,79.993,4,0.24,winter
Story,MIC-AーHOLIC A.I.,AI,2006-09-27,288506,59,0,1,0.586,0.427,0.632,0,0.109,-4.714,0.0268,125.94,4,0.391,winter
三日月,First Message,ayaka,2006-11-01,279013,58,2,1,0.496,0.293,0.476,0,0.0771,-5.077,0.0266,143.758,4,0.405,winter
First Love,First Love,Hikaru Utada,1999-03-10,257293,66,7,1,0.438,0.122,0.434,0,0.15,-8.37,0.0371,179.913,4,0.195,winter
魔法の絨毯,I believe in you,Takaya Kawasaki,2018-03-14,212018,0,10,0,0.599,0.774,0.309,0,0.122,-6.292,0.0507,72.285,4,0.584,winter
不可幸力,strobo,Vaundy,2020-05-27,200243,0,11,0,0.69,0.0157,0.815,0.00000285,0.0636,-5.227,0.0426,94.032,4,0.613,winter
NAO,Confidence,HY,2006-04-12,366773,53,2,1,0.561,0.491,0.422,0,0.197,-6.602,0.0292,75.982,4,0.255,winter
奇跡,10th Anniversary ALL TIME BEST,Che'Nelle,2017-12-04,269680,41,1,0,0.47,0.212,0.56,0,0.0992,-3.186,0.0313,77.331,4,0.234,winter
ぼくのとなりにいてくれませんか?,CK A-YANKA!!!,C&K,2011-01-01,300013,48,11,1,0.689,0.53,0.601,0,0.136,-5.714,0.0283,114.97,4,0.388,winter
I LOVE...,I LOVE...,Official HIGE DANdism,2020-02-12,282026,56,9,1,0.54,0.0171,0.706,0,0.225,-5.235,0.0543,172.021,4,0.385,winter
大阪LOVER,大阪LOVER,DREAMS COME TRUE,2007-01-01,266560,62,4,0,0.745,0.00554,0.727,0,0.375,-4.902,0.0268,129.703,4,0.546,winter
秋風のアンサー version2015,花時計,Flower,2015-03-04,288253,0,6,0,0.605,0.11,0.853,0,0.079,-2.495,0.0322,98.031,4,0.296,winter
約束のしおり,約束のしおり,ACE COLLECTION,2020-01-15,375400,48,2,1,0.656,0.36,0.528,0,0.094,-7.279,0.0314,89.989,4,0.31,winter
Fo,normal,dodo,2020-07-17,190000,50,8,1,0.664,0.656,0.616,0.000291,0.199,-7.096,0.0366,144.027,4,0.78,winter
SWEET TWEET,ラブとピースは君の中,Official HIGE DANdism,2015-04-22,295373,51,2,0,0.596,0.0121,0.924,0,0.0511,-1.766,0.0512,133.552,4,0.762,winter
napori,strobo,Vaundy,2020-05-27,203787,0,11,1,0.88,0.417,0.356,0,0.0997,-7.802,0.297,129.822,4,0.468,winter
Santa Tell Me,Santa Tell Me,Ariana Grande,2014-11-24,204093,71,7,1,0.525,0.0489,0.621,0,0.294,-7.364,0.116,191.9,4,0.591,winter
Last Christmas,Christmas Kisses,Ariana Grande,2014-12-03,203653,49,7,1,0.675,0.123,0.733,0,0.106,-4.647,0.0271,102.996,4,0.807,winter
恋,blues,back number,2012-11-21,253306,56,9,1,0.446,0.103,0.72,0,0.307,-2.9,0.0329,152.075,4,0.524,winter
Mela!,Mela!,Ryokuoushoku Shakai,2020-04-13,242066,0,8,1,0.619,0.0439,0.941,0.0000173,0.318,-1.618,0.0584,137.967,4,0.624,winter
Mr.Snowman,E.G. TIME,E-girls,2015-01-01,229053,31,8,1,0.675,0.297,0.954,0,0.0754,-2.142,0.039,138.92,4,0.735,winter
ドライフラワー,ドライフラワー,Yuuri,2020-10-25,285586,68,7,1,0.463,0.426,0.624,0,0.221,-5.118,0.0274,147.929,4,0.521,winter
ブルーベリー・ナイツ,hope,Macaroni Empitsu,2020-04-01,244869,66,5,1,0.66,0.278,0.865,0,0.0931,-3.642,0.0277,106.008,4,0.772,winter
コイワズライ,Sun Dance,Aimer,2019-04-09,235160,0,10,1,0.675,0.3,0.5,0,0.312,-5.825,0.0258,93.917,4,0.773,winter
やさしさで溢れるように,やさしさで溢れるように,Flower,2016-05-20,293480,0,8,1,0.453,0.151,0.793,0,0.109,-4.272,0.0327,79.991,4,0.349,winter
Hello - BEST TOUR ver.,Hello (BEST TOUR ver.),工藤大輝,2020-03-16,266933,27,8,1,0.672,0.0474,0.745,0.00000246,0.0962,-5.843,0.0387,121.987,4,0.5,winter
"Pain, pain",E.G.11,E-girls,2018-05-23,232440,38,8,1,0.62,0.0988,0.769,0,0.33,-4.081,0.0334,138.993,4,0.374,winter
Lights,Lights/Boy With Luv,BTS,2019-07-03,292773,60,5,1,0.625,0.112,0.663,0,0.105,-5.115,0.0302,98.998,4,0.398,winter
Let Go,FACE YOURSELF,BTS,2018-04-04,299706,66,4,1,0.558,0.17,0.863,0,0.289,-3.53,0.178,173.908,4,0.388,winter
こんなに好きになっちゃっていいの?,こんなに好きになっちゃっていいの? (Special Edition),Hinatazaka46,2019-10-02,319520,0,5,1,0.538,0.511,0.899,0,0.0706,-2.657,0.0474,101.965,4,0.421,winter
?????,??? ?? Best Collection,Various Artists,2011-10-13,195693,57,2,1,0.61,0.245,0.84,0,0.154,-4.543,0.0468,126.992,4,0.657,winter
イエスタデイ,Traveler,Official HIGE DANdism,2019-09-11,299164,58,6,1,0.541,0.0442,0.8,0,0.398,-3.687,0.0382,129.939,4,0.56,winter
わるぐち,TOKYO MERRY GO ROUND,Da-iCE,2018-01-17,255333,44,3,1,0.642,0.327,0.885,0,0.133,-1.928,0.0277,109.949,4,0.745,winter
Stay Gold,MAP OF THE SOUL : 7 ~ THE JOURNEY ~,BTS,2020-07-14,243266,68,1,1,0.723,0.0892,0.634,0,0.0787,-5.415,0.0542,129.017,4,0.582,winter
You Are The World Of Me,My Secret Romance (Original Television Soundtrack) Pt. 2,??,2017-04-24,229226,0,6,1,0.608,0.271,0.883,0.00000204,0.18,-4.963,0.0338,114.968,4,0.579,winter
Same,??? ??? Original Television Soundtrack,Sung Hoon,2017-07-13,257022,53,4,1,0.382,0.422,0.508,0,0.096,-6.285,0.0322,172.902,3,0.274,winter
Beautiful,"Guardian (Original Television Soundtrack), Pt. 4",Crush,2016-12-17,227583,70,10,1,0.416,0.843,0.41,0,0.107,-6.146,0.0292,110.252,4,0.219,winter
気づいたら片想い,気づいたら片想い TypeA,Nogizaka46,2014-04-02,254200,33,2,0,0.657,0.704,0.764,0,0.281,-3.592,0.0301,119.959,4,0.731,winter
いつか,カントリーロード,Saucy Dog,2017-05-24,274871,70,7,1,0.603,0.0941,0.509,0,0.201,-4.535,0.0263,79.989,4,0.445,winter
ハッピーエンド,ハッピーエンド,back number,2016-11-16,314280,56,6,0,0.378,0.0379,0.654,0.00000193,0.141,-3.327,0.0359,77.907,4,0.334,winter
Pretender,Traveler,Official HIGE DANdism,2019-09-11,326842,65,8,1,0.538,0.047,0.869,0,0.14,-3.464,0.0275,91.972,4,0.369,winter
ROOFTOPS feat. 藤原聡,ROOFTOPS feat. 藤原聡,KERENMI,2020-01-29,187408,35,5,1,0.629,0.00955,0.652,0,0.184,-6.027,0.0322,122.908,4,0.225,winter
ハッピーエンド,ハッピーエンド,Mone Kamishiraishi,2019-04-05,288506,37,1,1,0.633,0.683,0.445,0,0.363,-5.537,0.0287,107.027,4,0.364,winter
Flavor Of Life,HEART STATION,Hikaru Utada,2008-03-19,293746,55,0,0,0.587,0.11,0.87,0.0000418,0.0829,-5.358,0.0305,105.98,4,0.503,winter
愛してるのに、愛せない,愛してるのに、愛せない,AAA,2015-09-16,300133,48,5,1,0.568,0.0764,0.81,0,0.161,-4.17,0.0334,112.021,4,0.489,winter
恋音と雨空,AAA DOME TOUR 2018 COLOR A LIFE -SET LIST-,AAA,2018-12-03,316400,52,1,1,0.631,0.174,0.857,0,0.407,-4.7,0.0314,129.058,4,0.498,winter
雪の華,LOVE,Mika Nakashima,2003,341973,55,11,1,0.452,0.74,0.293,0,0.153,-7.24,0.0283,143.451,4,0.149,winter
カタオモイ,daydream,Aimer,2016-09-21,207360,68,1,1,0.621,0.78,0.533,0,0.333,-5.974,0.0342,96.981,4,0.791,winter
スターライトパレード,ENTERTAINMENT,SEKAI NO OWARI,2012-07-18,340560,54,2,1,0.585,0.00561,0.809,0.000285,0.084,-4.845,0.0379,125.051,4,0.226,winter
恋人ごっこ,hope,Macaroni Empitsu,2020-04-01,200219,66,1,1,0.438,0.124,0.646,0,0.0603,-5.301,0.0361,102.033,4,0.745,winter
ヤングアダルト,hope,Macaroni Empitsu,2020-04-01,258158,62,3,1,0.744,0.334,0.831,0.00000271,0.0879,-4.8,0.0355,131.053,4,0.834,winter
Over,Atomic Heart,Mr.Children,1994-09-01,282440,52,10,1,0.576,0.118,0.679,0,0.137,-4.472,0.023,87.834,4,0.633,winter
シンデレラボーイ,レイジーサンデー,Saucy Dog,2021-08-25,234323,76,9,1,0.596,0.0748,0.735,0,0.269,-6.362,0.0332,108.106,4,0.524,winter
Stay With Me,"Guardian (Original Television Soundtrack), Pt. 1",CHANYEOL,2016-12-03,192441,73,0,0,0.558,0.431,0.526,0,0.126,-4.686,0.033,124.709,4,0.202,winter
DRIVE,Are You Happy?,ARASHI,2016-10-26,262308,31,7,0,0.703,0.136,0.924,0,0.189,-3.721,0.0485,120.004,4,0.767,winter
Wherever you are,Nicheシンドローム,ONE OK ROCK,2010-06-09,295600,63,4,1,0.379,0.0286,0.69,0,0.335,-4.79,0.0549,173.716,4,0.288,winter
Bounce Beat,ウラ嵐BEST 2016-2020,ARASHI,2021-07-16,222758,30,10,0,0.702,0.152,0.878,0,0.133,-4.712,0.0944,126.042,4,0.604,winter
Found it,SiX,Da-iCE,2021-01-20,224053,25,9,0,0.686,0.314,0.859,0,0.0821,-4.085,0.0983,109.975,4,0.716,winter
真生活 - Cover,真生活 (Cover),Kotoha,2021-10-13,247517,52,0,1,0.753,0.435,0.734,0.00129,0.126,-4.529,0.0337,127.988,4,0.678,winter
Crystal Snow,FACE YOURSELF,BTS,2018-04-04,323360,65,3,1,0.618,0.117,0.766,0,0.121,-4.507,0.0323,113.997,4,0.448,winter
恋風邪にのせて,恋風邪にのせて,Vaundy,2022-03-07,255914,69,6,0,0.595,0.000064,0.909,0.000355,0.387,-3.594,0.0341,118.021,4,0.537,winter
東京フラッシュ,strobo,Vaundy,2020-05-27,258858,67,2,1,0.628,0.00255,0.634,0.00000724,0.0456,-5.508,0.0322,97.99,4,0.606,winter
眠り姫,ENTERTAINMENT,SEKAI NO OWARI,2012-07-18,326640,59,10,1,0.34,0.169,0.817,0,0.1,-5.226,0.0497,96.907,4,0.396,winter
白雪,白雪,マルシィ,2020-12-07,277346,44,0,1,0.454,0.0275,0.626,0,0.147,-5.419,0.0291,79.917,4,0.419,winter
絵空,Drama / 絵空,マルシィ,2020-05-31,289819,53,4,1,0.39,0.167,0.636,0,0.0586,-5.387,0.0344,161.944,4,0.196,winter
YOKOHAMA blues,Lip,SEKAI NO OWARI,2019-02-27,292514,44,6,0,0.736,0.188,0.8,0.0000034,0.282,-5.493,0.0425,95.055,4,0.791,winter
蜜の月,Lip,SEKAI NO OWARI,2019-02-27,260082,37,11,0,0.834,0.322,0.772,0.284,0.0933,-5.769,0.038,126.01,4,0.816,winter
最低最悪,最低最悪,マルシィ,2022-03-23,175616,46,8,1,0.528,0.0085,0.895,0,0.396,-2.853,0.0411,137.95,3,0.533,winter
あぁ、もう。,あぁ、もう。,Saucy Dog,2021-12-17,284330,61,4,1,0.706,0.248,0.672,0,0.177,-4.696,0.029,112.126,4,0.632,winter
楓,フェイクファー,SPITZ,1998,325693,60,8,1,0.441,0.192,0.706,0.677,0.0847,-5.27,0.0287,80.108,4,0.463,winter
amp,SiX,Da-iCE,2021-01-20,201933,35,8,1,0.579,0.0306,0.673,0,0.338,-4.795,0.123,191.917,4,0.522,winter
LOST LOVE,FIGHT BACK,Da-iCE,2014-10-15,191173,33,10,1,0.682,0.244,0.86,0,0.112,-1.912,0.0408,111.962,4,0.677,winter
silent,silent,SEKAI NO OWARI,2020-10-21,308921,55,0,1,0.43,0.434,0.62,0,0.209,-5.274,0.0419,176.14,4,0.424,winter
WISH,WISH,ARASHI,2005-11-16,267077,47,2,1,0.659,0.132,0.764,0,0.351,-3.734,0.034,132.045,4,0.709,winter
ぎゅっと。,ぎゅっと。,もさを。,2020-07-27,269746,61,4,1,0.773,0.814,0.363,0,0.103,-7.304,0.0383,119.994,4,0.774,winter
All I Want for Christmas Is You,Merry Christmas,Mariah Carey,1994-10-28,241106,76,7,1,0.336,0.164,0.627,0,0.0708,-7.463,0.0384,150.273,4,0.35,winter
願い,願い,sumika,2019-11-16,314186,0,2,1,0.553,0.0588,0.837,0,0.103,-5.343,0.0296,91.004,4,0.74,winter
drama,Eighth Wonder,AAA,2013-09-18,267506,50,6,1,0.532,0.0802,0.708,0,0.0547,-6.52,0.0303,162.032,4,0.412,winter
僕の名前を,アンコール,back number,2016-12-28,292026,52,1,1,0.468,0.00473,0.573,0,0.0658,-3.651,0.0268,79.971,4,0.454,winter
Bittersweet,Bittersweet,ARASHI,2014-02-12,288103,43,1,1,0.695,0.0274,0.919,0,0.141,-4.003,0.0277,127.985,4,0.901,winter
Beautiful days,Beautiful days,ARASHI,2008-11-05,292432,47,0,1,0.576,0.239,0.816,0,0.47,-3.481,0.0328,120.04,4,0.728,winter
ホワイトマーチ,Chime,sumika,2019-03-13,250013,0,7,1,0.56,0.248,0.894,0,0.106,-3.605,0.0593,147.913,4,0.319,winter
手紙,シャンデリア,back number,2015-12-09,270506,54,7,1,0.458,0.0186,0.54,0,0.0991,-3.372,0.0263,145.827,4,0.313,winter
Flavor Of Life - Ballad Version,HEART STATION,Hikaru Utada,2008-03-19,325360,51,0,0,0.484,0.508,0.612,0,0.115,-6.105,0.027,94.966,4,0.37,winter
思い出せなくなるその日まで,アンコール,back number,2016-12-28,271613,40,9,0,0.447,0.0106,0.64,0,0.312,-3.171,0.0341,148.088,4,0.512,winter
冬のプレゼント,冬のプレゼント,もさを。,2020-11-30,302160,46,0,1,0.541,0.0781,0.641,0,0.0925,-4.561,0.0253,94.987,4,0.456,winter
Merry × Merry Xmas★,E.G.11,E-girls,2018-05-23,271333,31,6,1,0.571,0.134,0.847,0,0.0599,-4.939,0.0511,132.992,4,0.387,winter
Dream Fighter,"Perfume The Best ""P Cubed""",Perfume,2019-09-18,294533,35,8,1,0.584,0.00169,0.96,0.00372,0.337,-1.985,0.0817,135.021,4,0.507,winter
日曜日,アンコール,back number,2016-12-28,225560,49,0,1,0.386,0.0365,0.601,0,0.416,-2.903,0.0523,200.158,4,0.544,winter
かくれんぼ,かくれんぼ,Yuuri,2019-12-01,271093,58,9,1,0.671,0.417,0.505,0,0.124,-7.575,0.0629,156.019,4,0.311,winter
napori,strobo,Vaundy,2020-05-27,203787,1,11,1,0.88,0.417,0.356,0,0.0997,-7.802,0.297,129.822,4,0.468,winter
君が好き,Journey,Shota Shimizu,2010-03-03,271693,55,0,1,0.585,0.141,0.573,0,0.272,-7.818,0.0436,133.919,4,0.53,winter
キミがいい,キミがいい,Softly,2016-02-03,199240,27,5,1,0.607,0.0328,0.778,0,0.272,-3.088,0.0279,95.989,4,0.695,winter
常緑,常緑,Chippoke Ohashi,2021-09-01,171546,59,11,1,0.725,0.0242,0.75,0,0.101,-5.694,0.0772,101.19,4,0.888,winter
コーヒーとシロップ,MAN IN THE MIRROR,Official HIGE DANdism,2016-06-15,224657,49,1,0,0.519,0.148,0.775,0,0.163,-4.623,0.0488,154.992,4,0.672,winter
相思相愛,エスカパレード,Official HIGE DANdism,2018-04-11,352127,47,5,1,0.56,0.0342,0.429,0,0.0891,-6.259,0.0265,83.008,4,0.417,winter
黄色,黄色,back number,2021-09-27,297997,60,4,0,0.352,0.251,0.791,0,0.307,-3.27,0.0797,169.638,4,0.511,winter
カーテンコール,カーテンコール,yama,2021-05-28,219206,47,9,0,0.639,0.0385,0.917,0,0.314,-4.845,0.0473,123.016,4,0.765,winter
君に贈る歌 ~Song For You,シェネル・ワールド,Che'Nelle,2015-02-11,341680,58,8,1,0.513,0.66,0.51,0,0.081,-3.249,0.0261,81.947,4,0.182,winter
不思議,不思議,Gen Hoshino,2021-04-27,290000,61,3,1,0.753,0.0512,0.574,0.00000371,0.141,-4.57,0.0483,89.024,4,0.527,winter
ハート,ハート,Aimyon,2021-10-20,271280,64,6,1,0.661,0.543,0.448,0,0.0818,-5.761,0.0522,78.114,4,0.299,winter
これからのこと,デイズ オブ ユース,ケプラ,2021-07-21,238832,56,10,1,0.496,0.00436,0.622,0,0.177,-4.358,0.0587,179.91,4,0.88,winter
愛虜,愛虜,荒木一仁,2021-04-01,330961,39,2,1,0.608,0.344,0.411,0,0.104,-10.791,0.0379,77.925,4,0.281,winter
"Love me, Love you","Love me, Love you",Mrs. GREEN APPLE,2018-02-14,283240,55,0,1,0.762,0.0502,0.943,0,0.275,-2.881,0.045,129.999,4,0.806,winter
彩り,「ハッピーな暮らし」,neguse.,2021-04-17,268413,50,0,1,0.476,0.0521,0.649,0,0.533,-4.423,0.0319,155.065,4,0.602,winter
オールドファッション,MAGIC,back number,2019-03-27,254440,64,6,1,0.386,0.0788,0.806,0,0.104,-3.647,0.0499,175.953,4,0.394,winter
なんでもないよ、,なんでもないよ、,Macaroni Empitsu,2021-11-03,218751,66,4,1,0.597,0.278,0.525,0,0.0692,-6.039,0.0519,171.561,4,0.589,winter
