name,album,artist,release_date,length,popularity,key,mode,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,valence,answer
エイプリル,エイプリル,Kei Sugawara,2022-04-06,184216,44,5,0,0.441,0.00417,0.947,0.0000241,0.118,-4.225,0.0625,185.25,4,0.775,spring
おみやげを持って,おみやげを持って,Sunny Day Service,2022-01-26,195882,24,7,1,0.621,0.589,0.83,0.0000926,0.3,-6.057,0.0344,97.233,4,0.927,spring
春,フリークエンシー・イン・ブルー,ぷにぷに電機,2022-04-24,213016,25,8,0,0.659,0.535,0.494,0.156,0.354,-11.251,0.04,80,4,0.466,spring
スパイダー,空の飛び方,SPITZ,1994,224733,47,4,1,0.639,0.224,0.823,0.00000456,0.1,-5.83,0.0276,127.057,4,0.682,spring
i care,i care,Homecomings,2022-04-06,264450,29,8,1,0.606,0.0244,0.775,0,0.108,-4.807,0.0258,95.03,4,0.537,spring
rollin',rollin',macico,2022-05-18,201274,22,2,1,0.734,0.0572,0.782,0.00000425,0.113,-6.92,0.0953,115.122,4,0.401,spring
House On Fire,House On Fire,Mimi Webb,2022-02-18,140803,74,2,1,0.61,0.0245,0.747,0,0.106,-4.543,0.109,150.088,4,0.439,spring
Boys Don't Cry,Boys Don't Cry,Anitta,2022-01-27,136011,67,5,1,0.589,0.00178,0.842,0,0.113,-4.86,0.0372,164.163,4,0.657,spring
チューリップ,チューリップ,Kiwokuza,2022-03-23,267582,16,6,1,0.645,0.627,0.394,0.217,0.0934,-12.194,0.0273,110.026,4,0.337,spring
Scarlett,The Walls Are Way Too Thin,Holly Humberstone,2021-11-12,196226,67,2,1,0.619,0.17,0.653,0.00000871,0.0862,-7.642,0.0688,143.05,4,0.469,spring
春を待ちわびて,春を待ちわびて,Merlion,2022-03-23,210600,6,2,1,0.453,0.0004,0.673,0.0000223,0.154,-5.962,0.0294,100.393,4,0.541,spring
流星群,流星群,Penthouse,2022-04-08,189746,52,10,0,0.747,0.119,0.83,0,0.183,-5.059,0.0476,119.912,4,0.907,spring
はにかみファイリングラブ,はにかみファイリングラブ,フー・ドゥ・ユー・ラブ,2022-05-18,168255,21,6,1,0.545,0.132,0.761,0.000059,0.103,-3.619,0.0405,135.761,4,0.676,spring
"The Age (feat. BASI, Dhira Bongs & Keishi Tanaka)",Lives By The Sea,Gotch,2020-12-02,195024,31,0,1,0.841,0.149,0.482,0,0.19,-8.061,0.0717,95.004,4,0.609,spring
8TEEN,American Teen,Khalid,2017-04-27,228600,78,1,1,0.83,0.225,0.585,0.00209,0.0576,-5.802,0.0366,105.03,4,0.642,spring
GROWING UP IS _____,GROWING UP IS _____,Ruel,2021-12-08,233587,67,0,1,0.673,0.000983,0.729,0.000107,0.226,-5.664,0.029,112.535,4,0.482,spring
CALL,CALL,スカート,2016-04-20,183133,27,10,1,0.579,0.0588,0.84,0.00637,0.111,-6.42,0.0347,123.093,4,0.237,spring
ハローマイフレンド,ハローマイフレンド,Borsch,2022-04-06,163220,7,4,1,0.602,0.297,0.86,0.228,0.286,-3.021,0.0416,118.06,4,0.61,spring
鳴り響く限り,鳴り響く限り,YUKI,2022-04-13,233266,44,1,1,0.493,0.0676,0.679,0.000821,0.191,-4.53,0.0857,203.707,4,0.527,spring
うららか,うららか,moeki,2022-04-22,225000,32,1,1,0.736,0.283,0.441,0,0.113,-7.582,0.08,89.989,4,0.392,spring
Waves,Waves,DYGL,2022-03-23,244687,39,9,1,0.631,0.0165,0.673,0,0.141,-7.922,0.0313,136.051,4,0.711,spring
春にふられて,春にふられて,Rin音,2021-03-17,256105,39,4,1,0.547,0.287,0.808,0,0.39,-6.693,0.0686,99.868,4,0.643,spring
四月になること,四月になること,whaledontsleep,2022-04-13,200470,31,11,1,0.656,0.852,0.186,0,0.317,-12.876,0.0408,84.807,4,0.365,spring
そしてきみと春を待つ,そしてきみと春を待つ,Keiichi Sokabe,2022-04-15,186645,21,4,1,0.584,0.883,0.288,0,0.0903,-11.533,0.0259,98.696,4,0.58,spring
Cooler Than Me - Single Mix,31 Minutes to Takeoff,Mike Posner,2010-08-09,213293,77,7,0,0.768,0.179,0.82,0,0.689,-4.63,0.0474,129.965,4,0.625,spring
春雷,BOOTLEG,Kenshi Yonezu,2017-11-01,288893,58,5,0,0.693,0.203,0.881,0,0.0553,-3.176,0.0383,124.006,4,0.881,spring
Don't Go Yet,Don't Go Yet,Camila Cabello,2021-07-23,164842,78,10,0,0.666,0.0492,0.796,0,0.0442,-6.967,0.103,110.108,4,0.61,spring
光,光,andymori,2012-05-02,171133,31,11,1,0.365,0.337,0.911,0.00000199,0.208,-4.958,0.107,172.602,4,0.828,spring
かすみ草が揺れる間に,かすみ草が揺れる間に,Nassy Island,2021-03-10,354149,9,9,1,0.376,0.0995,0.67,0.0000948,0.257,-4.534,0.0308,172.054,4,0.642,spring
きらり,きらり,Fujii Kaze,2021-05-03,231882,66,2,1,0.746,0.00803,0.764,0,0.357,-6.833,0.0462,116.982,4,0.701,spring
アルティッチョの夜,スライディングギター / アルティッチョの夜,小山田壮平,2022-03-23,224000,25,4,1,0.147,0.0049,0.754,0.0000888,0.135,-5.151,0.0433,169.963,4,0.605,spring
皐月,初恋が泣いている,Aimyon,2022-06-08,270146,48,0,1,0.546,0.181,0.764,0.000731,0.0979,-6.243,0.0464,77.79,4,0.533,spring
春に迷い込んで,春に迷い込んで,SHISHAMO,2022-03-16,310680,34,6,1,0.601,0.141,0.619,0.00000102,0.126,-5.28,0.0243,79.986,4,0.395,spring
Better,アウトドア,YAJICO GIRL,2021-02-17,181046,29,8,1,0.629,0.0838,0.764,0,0.146,-4.697,0.0424,91.983,4,0.676,spring
Secrets from a Girl (Who's Seen it All),Solar Power,Lorde,2021-08-20,218659,24,4,1,0.669,0.604,0.524,0.0000148,0.122,-9.485,0.0441,88.012,4,0.574,spring
FLOWERS,FLOWERS,WONK,2021-04-07,227215,36,1,1,0.61,0.0772,0.604,0.0000115,0.314,-11.307,0.0416,88.003,4,0.699,spring
Now I'm In It - Bonus Track,Women In Music Pt III (Expanded Edition),HAIM,2021-02-19,204280,60,4,1,0.717,0.384,0.707,0.000117,0.161,-9.495,0.0628,105.014,4,0.206,spring
PIECE,PIECE,TENDRE,2021-04-07,271578,22,7,0,0.668,0.3,0.695,0.0704,0.139,-6.12,0.0265,94.995,4,0.527,spring
シャングリラ,チャットモンチー BEST?2005-2011?,Chatmonchy,2005,198160,53,8,1,0.702,0.00284,0.918,0.0013,0.104,-1.758,0.053,129.148,4,0.959,spring
april,Remember,Spangle Call Lilli Line,2021-03-03,179453,19,11,0,0.712,0.0308,0.5,0.649,0.227,-13.039,0.044,116.971,4,0.361,spring
春の歌,CYCLE HIT 1997-2005 Spitz Complete Single Collection,SPITZ,2006-03-25,283240,59,9,1,0.276,0.0034,0.863,0.252,0.0559,-3.455,0.0453,115.655,4,0.614,spring
双葉,双葉,Aimyon,2022-03-24,277223,57,5,1,0.6,0.0387,0.794,0.00000502,0.414,-3.322,0.0323,111.984,4,0.664,spring
AOZORA,AOZORA,THE HAJIMALS,2022-04-27,264331,33,7,1,0.687,0.244,0.5,0,0.0991,-10.819,0.0555,127.038,4,0.506,spring
Spring of Life,"Perfume The Best ""P Cubed""",Perfume,2019-09-18,230213,28,5,0,0.546,0.0002,0.993,0.101,0.0659,-1.698,0.0866,132.007,4,0.846,spring
Sunflower - Spider-Man: Into the Spider-Verse,Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),Various Artists,2018-12-14,158040,84,2,1,0.76,0.556,0.479,0,0.0703,-5.574,0.0466,89.911,4,0.913,spring
Passionfruit,More Life,Drake,2017-03-18,298940,84,11,1,0.809,0.256,0.463,0.085,0.109,-11.377,0.0396,111.98,4,0.364,spring
季節の報せ,季節の報せ,Okazaki Taiiku,2022-04-27,262420,26,8,1,0.609,0.00737,0.886,0,0.348,-3.69,0.026,104.996,4,0.768,spring
春を待って,STORY,never young beach,2019-05-08,140366,33,7,1,0.838,0.151,0.475,0.0223,0.121,-13.648,0.048,112.119,4,0.96,spring
春を歌にして,逃した魚,back number,2009-02-18,376266,48,3,1,0.451,0.0273,0.684,0,0.0926,-4.042,0.0392,147.963,4,0.355,spring
First Day of Spring,First Day of Spring,Ri?,2021-05-01,181333,3,0,0,0.361,0.837,0.372,0.00000152,0.188,-11.185,0.0622,179.97,4,0.21,spring
彩り,HOME,Mr.Children,2007-03-14,323720,49,7,1,0.669,0.144,0.677,0,0.145,-6.663,0.0252,107.959,4,0.569,spring
Sun on my wings,Sun on my wings,Miho Fukuhara,2021-01-16,231055,13,0,0,0.839,0.11,0.678,0.000542,0.166,-5.754,0.086,109.942,4,0.449,spring
春風 - Alternative,くるりの20回転,Quruli,2016-09-14,359760,32,4,1,0.462,0.0292,0.708,0.00177,0.0581,-11.328,0.0262,154.009,4,0.485,spring
春よくるな,春よくるな,ゆ～すほすてる,2022-04-08,96446,9,6,1,0.51,0.000771,0.797,0.00677,0.122,-5.444,0.0423,157.016,4,0.935,spring
君と僕,FRUITFUL,Yasuyuki Horigome,2021-04-21,229106,17,5,1,0.66,0.264,0.586,0.000773,0.107,-6.084,0.0266,113.995,4,0.672,spring
Sakura Melody,Bespoke,Noriyuki Makihara,2022-03-02,301186,33,9,1,0.572,0.245,0.779,0,0.0892,-5.569,0.0249,99.024,4,0.567,spring
桜の季節,桜の季節,Fujifabric,2004-04-14,311693,18,7,0,0.588,0.0143,0.744,0.0043,0.108,-5.608,0.0311,126.979,4,0.438,spring
ウララ,BEST ALBUM SUPERVILLAIN,Vickeblanka,2022-03-21,219986,32,3,1,0.704,0.0313,0.828,0.00000629,0.164,-4.462,0.0361,128.023,4,0.864,spring
ハミングバード,ハミングバード,ツチヤカレン,2022-04-27,206000,24,10,1,0.591,0.183,0.841,0.037,0.13,-6.226,0.0279,96.513,4,0.708,spring
CHE.R.RY,CAN'T BUY MY LOVE,YUI,2007-04-04,209973,59,5,1,0.599,0.245,0.906,0.000182,0.265,-2.899,0.032,109.198,4,0.648,spring
春風は君のもの,春風は君のもの,米澤森人,2021-03-24,214910,20,6,1,0.819,0.531,0.528,0,0.334,-8.75,0.0557,126.02,4,0.943,spring
勿忘,Grower,Awesome City Club,2021-02-10,251533,65,6,0,0.448,0.234,0.447,0,0.382,-7.161,0.045,78.861,4,0.299,spring
オリオン,春を待つ僕ら3,HoSoVoSo,2022-03-16,191852,13,11,0,0.51,0.944,0.127,0.000164,0.112,-15.369,0.0412,70.053,4,0.392,spring
Don't Worry Be Happy,Simple Pleasures,Bobby McFerrin,1988-01-01,294400,70,11,1,0.675,0.88,0.166,0.0000714,0.0461,-22.602,0.171,68.837,4,0.747,spring
You've Got a Friend,Tapestry,Carole King,1971,308973,66,8,1,0.473,0.88,0.263,0.0000441,0.123,-10.684,0.0336,169.094,4,0.461,spring
3月9日,3月9日,Remioromen,2004-03-09,265040,50,5,1,0.435,0.024,0.519,0.00000113,0.121,-7.11,0.0254,153.197,4,0.356,spring
CHE.R.RY,ORANGE GARDEN POP,YUI,2012,214706,0,5,1,0.651,0.322,0.901,0.000771,0.215,-3.281,0.0293,109.14,4,0.627,spring
旅ダチノウタ,旅ダチノウタ,AAA,2009-01-14,304880,21,11,1,0.629,0.444,0.641,0,0.109,-5.702,0.0272,131.961,4,0.586,spring
旅立ちの日に・・・,SINGLE BEST -B-,Ai Kawashima,2005,348773,20,2,1,0.594,0.63,0.329,0,0.0908,-9.797,0.0319,72.032,4,0.404,spring
春風,BORDERLESS,Rihwa,2014-04-02,333531,51,2,1,0.453,0.135,0.545,0.000278,0.237,-4.27,0.025,78.02,4,0.3,spring
ハルノヒ,ハルノヒ,Aimyon,2019-04-03,326866,54,9,1,0.591,0.263,0.673,0,0.109,-2.445,0.0294,106.956,4,0.525,spring
春を告げる,春を告げる,yama,2020-04-17,196497,64,11,1,0.548,0.0397,0.871,0,0.357,-5.377,0.123,120.009,4,0.487,spring
旅立ち,旅立ち,FUNKY MONKEY BABYS,2008-03-26,335413,22,0,1,0.632,0.0127,0.949,0,0.388,-3.141,0.0457,98.954,4,0.651,spring
出逢いのチカラ,ATTACK,AAA,2006-01-01,300000,29,11,1,0.628,0.05,0.84,0,0.0723,-3.36,0.027,115.008,4,0.592,spring
春よ、来い,THE DANCING SUN,Yumi Matsutoya,1994-11-25,288567,53,10,0,0.542,0.634,0.529,0,0.108,-10.024,0.0318,87.911,4,0.184,spring
花は桜 君は美し,超いきものは?かり~てんねん記念メンハ?ース?BESTセレクション~,Ikimonogakari,2016-03-15,265386,0,11,0,0.61,0.179,0.859,0,0.129,-4.022,0.0606,119.008,4,0.616,spring
春泥棒,春泥棒,ヨルシカ,2021-01-09,290289,63,5,1,0.762,0.103,0.595,0.0000471,0.115,-6.777,0.0445,125.047,4,0.858,spring
サヨナラの意味,生まれてから初めて見た夢 (Complete Edition),Nogizaka46,2017-05-24,299040,0,0,0,0.51,0.251,0.756,0.00000492,0.214,-3.611,0.0319,126.998,4,0.573,spring
未来へ,Kiroroのうた ①,Kiroro,2002-02-21,329586,53,5,1,0.566,0.447,0.486,0,0.0744,-5.228,0.0282,152.035,4,0.321,spring
手紙 ~拝啓 十五の君へ~,手紙~拝啓 十五の君へ~,Angela Aki,2008-09-17,314506,0,8,1,0.643,0.824,0.414,0,0.235,-7.716,0.0288,126.052,4,0.357,spring
Best Friend,Best Friend,Kana Nishino,2010-02-24,321400,48,3,1,0.654,0.604,0.675,0,0.0735,-4.067,0.0297,117.03,4,0.368,spring
桜の木になろう,1830m,AKB48,2012-08-15,333013,36,7,1,0.548,0.437,0.523,0.00000106,0.309,-6.151,0.0232,79.973,4,0.417,spring
帰り道は遠回りしたくなる,帰り道は遠回りしたくなる (Special Edition),Nogizaka46,2018-11-07,269706,0,1,1,0.51,0.457,0.857,0,0.0794,-2.715,0.0403,138.064,4,0.693,spring
キセキ,あっ、ども。おひさしぶりです。,GReeeeN,2008-01-01,271160,62,0,1,0.641,0.0932,0.618,0,0.155,-4.269,0.0259,90.032,4,0.338,spring
いつかこの涙が,juice,Little Glee Monster,2018-01-17,265626,0,0,1,0.584,0.332,0.707,0.00000125,0.127,-3.657,0.0295,82.025,4,0.365,spring
仰げば青空,仰げば青空,Motohiro Hata,2019-03-13,263426,33,7,1,0.501,0.0348,0.503,0,0.284,-6.109,0.0264,153.955,4,0.313,spring
勿忘,勿忘,Awesome City Club,2021-01-27,251533,58,6,0,0.448,0.234,0.447,0,0.382,-7.161,0.045,78.861,4,0.299,spring
旅路,旅路,Fujii Kaze,2021-03-01,277333,55,9,1,0.59,0.0711,0.556,0.00000324,0.08,-7.124,0.07,171.936,4,0.749,spring
まなざし,まなざし,Honey L Days,2010-05-26,259226,31,2,1,0.568,0.691,0.65,0,0.127,-5.043,0.0312,92.961,4,0.312,spring
友よ ? この先もずっと・・・,KETSUNOPOLIS 10,Ketsumeishi,2016-10-26,315413,58,0,1,0.635,0.042,0.914,0,0.2,-3.84,0.0464,127.024,4,0.674,spring
Best Friend,Kiroroのうた ①,Kiroro,2002-02-21,280220,50,3,1,0.636,0.85,0.486,0,0.346,-7.354,0.0271,79.211,4,0.277,spring
沈丁花,沈丁花,DISH//,2021-10-24,231609,65,8,1,0.555,0.0408,0.834,0,0.346,-3.541,0.0299,120.039,4,0.771,spring
桜の花びらたち2008(Original Mix),桜の花びらたち2008,AKB48,2008,320413,23,11,1,0.382,0.0548,0.868,0,0.136,-4.282,0.0354,200.077,3,0.652,spring
証,experience,flumpool,2012-12-12,320480,48,11,1,0.475,0.0766,0.563,0,0.152,-5.301,0.0275,82.029,4,0.343,spring
ブルーバード,Chou Ikimonobakari Tennen Kinen Members Best Selection,Ikimonogakari,2006,215706,70,6,0,0.536,0.121,0.966,0,0.0477,-2.929,0.0558,152.076,4,0.849,spring
明日、春が来たら,空の鏡,Takako Matsu,1997-06-28,261440,0,11,0,0.64,0.164,0.783,0.00000127,0.125,-7.507,0.0269,109.608,4,0.332,spring
ワタリドリ,ALXD,[Alexandros],2015-06-17,248706,64,9,1,0.508,0.00141,0.964,0,0.197,-4.077,0.0831,134.982,4,0.609,spring
ONE,ONE / 花の唄 / 六等星の夜 Magic Blue ver.,Aimer,2017-10-11,331653,30,4,1,0.573,0.0000978,0.918,0.00000366,0.129,-3.453,0.0664,129.046,4,0.831,spring
Brave,Brave,Naoto Inti Raymi,2010-01-01,259106,22,7,1,0.65,0.0238,0.869,0,0.269,-3.536,0.0341,113.026,4,0.63,spring
負けない心,負けない心,AAA,2010-08-18,260839,29,0,0,0.54,0.0169,0.958,0.00000383,0.0879,-2.343,0.0578,133.986,4,0.383,spring
Power of the Paradise,Power of the Paradise,ARASHI,2016-09-14,276072,38,11,1,0.563,0.0293,0.905,0,0.37,-2.995,0.0493,131.991,4,0.888,spring
悲しみなんて笑い飛ばせ,ファンキーモンキーヘ?イヒ?ース? 4,FUNKY MONKEY BABYS,2011-12-21,314800,52,10,1,0.506,0.0238,0.988,0,0.288,-1.726,0.0528,168.055,4,0.857,spring
アゲイン,COMINATCHA!!,WANIMA,2019-10-23,214088,54,7,1,0.486,0.000272,0.949,0,0.188,-2.397,0.0565,97.268,4,0.358,spring
夢ノカケラ,ALL/2,AAA,2006-09-13,299786,16,1,1,0.582,0.00363,0.731,0,0.126,-6.339,0.0383,170.023,4,0.595,spring
蕾(つぼみ),ALL SINGLES BEST 2,KOBUKURO,2007-06-13,363853,51,2,1,0.355,0.203,0.441,0,0.155,-5.785,0.0253,75.894,4,0.283,spring
チェリー,インディゴ地平線,SPITZ,1996,259933,66,0,1,0.646,0.227,0.805,0.0000195,0.0901,-3.422,0.0292,97.201,4,0.748,spring
SAKURA,桜咲く街物語,Ikimonogakari,2007-03-07,353640,0,5,0,0.45,0.185,0.493,0,0.375,-5.225,0.0298,150.122,4,0.419,spring
さくら,ケツノポリス4,Ketsumeishi,2005-06-29,316040,57,8,1,0.713,0.308,0.838,0.00000454,0.235,-4.111,0.0257,119.992,4,0.848,spring
桜花爛漫,HOT!,KEYTALK,2015-05-20,218400,42,2,0,0.44,0.000368,0.956,0,0.135,-2.793,0.0919,75.023,4,0.574,spring
千本桜,ボカロ三昧,WagakkiBand,2014-04-23,270306,49,0,1,0.577,0.0141,0.972,0.00196,0.17,-4.031,0.0799,153.025,4,0.656,spring
まつり,LOVE ALL SERVE ALL,Fujii Kaze,2022-03-23,225920,69,1,1,0.663,0.00892,0.731,0.0502,0.293,-7.335,0.0338,97.025,4,0.356,spring
さくら - 独唱,傑作撰 2001~2005,Naotaro Moriyama,2006-01-11,255160,51,8,1,0.589,0.95,0.181,0,0.139,-9.783,0.0329,72.005,4,0.349,spring
桜坂,桜坂,Masaharu Fukuyama,2000-04-26,297506,48,7,1,0.768,0.199,0.413,0.0000183,0.123,-10.017,0.0262,104.001,4,0.459,spring
SAKURAドロップス,DEEP RIVER,Hikaru Utada,2002-06-19,298693,0,7,0,0.311,0.178,0.668,0,0.313,-3.366,0.0426,80.95,4,0.127,spring
なんてったって春,魚図鑑,sakanaction,2018-03-28,271000,34,3,0,0.825,0.0408,0.529,0.0557,0.0822,-8.397,0.0349,125.992,4,0.886,spring
サクラ咲ケ,サクラ咲ケ,ARASHI,2005-03-23,262144,49,0,0,0.429,0.0052,0.924,0.000328,0.132,-3.801,0.0431,167.342,4,0.518,spring
桜,NAMELESS WORLD,KOBUKURO,2005-05-11,360453,52,11,1,0.462,0.531,0.414,0,0.119,-7.392,0.0251,83.474,4,0.342,spring
忘れられないの,834.194,sakanaction,2019-06-19,238000,56,6,0,0.642,0.35,0.645,0.00349,0.191,-7.358,0.0375,172.1,4,0.917,spring
春の歌,PLAY,Sakura Fujiwara,2017-05-10,253466,43,6,0,0.654,0.252,0.327,0.0000132,0.0898,-7.532,0.0284,109.945,4,0.294,spring
ハナミズキ,一青想,Yo Hitoto,2004-04-07,322733,46,4,1,0.396,0.868,0.418,0.00000692,0.182,-5.727,0.0276,141.698,4,0.31,spring
まちがいさがし,LOVE,Masaki Suda,2019-07-10,223640,0,2,1,0.534,0.523,0.642,0,0.39,-5.568,0.0372,155.921,4,0.443,spring
春愁,"Love me, Love you",Mrs. GREEN APPLE,2018-02-14,183800,65,10,1,0.724,0.0121,0.444,0,0.123,-4.903,0.0412,129.962,4,0.739,spring
WAY OF GLORY,WAY OF GLORY,AAA,2017-02-22,311169,36,8,1,0.621,0.0588,0.853,0,0.0943,-4.472,0.0579,125.025,4,0.532,spring
あなたに恋をしてみました,ハートクチュール,chay,2015-04-15,268160,51,1,1,0.645,0.621,0.787,0,0.3,-2.666,0.0326,136.997,4,0.961,spring
君に届け,Fantasia of Life Stripe,flumpool,2011-01-26,322586,56,11,1,0.449,0.0162,0.872,0,0.188,-4.744,0.0747,144.128,4,0.523,spring
ヒッチコック,負け犬にアンコールはいらない,ヨルシカ,2018-05-09,222813,58,1,1,0.547,0.285,0.796,0.00000105,0.0487,-3.785,0.0368,169.901,4,0.797,spring
マイガール,マイガール,ARASHI,2009-11-11,285189,48,6,1,0.622,0.466,0.839,0,0.243,-3.825,0.0314,119.969,4,0.915,spring
フィクション,Chime,sumika,2019-03-13,233253,58,2,1,0.658,0.144,0.94,0,0.104,-2.427,0.0339,122.992,4,0.694,spring
ありふれた言葉,猫とアレルギー,Kinokoteikoku,2015-11-11,250986,29,4,1,0.494,0.147,0.674,0,0.506,-3.824,0.0384,92.79,4,0.606,spring
ギュッと,FLAVA,Little Glee Monster,2019-01-16,283920,0,4,1,0.628,0.23,0.759,0,0.144,-4.206,0.0308,121.02,4,0.417,spring
優しいあの子,見っけ,SPITZ,2019-10-09,204466,54,2,1,0.56,0.224,0.846,0,0.148,-4.054,0.03,102.045,4,0.565,spring
