,name,album,artist,release_date,length,popularity,key,mode,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,valence,answer
11,逆光 - ウタ from ONE PIECE FILM RED,逆光 (ウタ from ONE PIECE FILM RED),Ado,2022-07-05,237862,73,10,0,0.563,0.000382,0.901,4.81e-06,0.388,-3.926,0.11,145.004,4,0.684,noon
12,誰彼スクランブル,誰彼スクランブル,halca,2022-07-03,268386,48,5,0,0.435,0.00198,0.982,5.16e-06,0.323,-1.632,0.281,149.863,4,0.565,noon
13,Dance In The Game,Dance In The Game,ZAQ,2022-07-13,208626,66,5,0,0.599,0.0347,0.927,0.0,0.348,-3.115,0.112,134.979,4,0.856,noon
14,決戦スピリット,瞬く世界にiを揺らせ,CHiCO with HoneyWorks,2020-09-16,270306,56,5,0,0.579,0.00459,0.952,0.0,0.113,-2.678,0.054,94.026,4,0.352,noon
15,napori,strobo,Vaundy,2020-05-27,203787,69,11,1,0.88,0.417,0.356,0.0,0.0997,-7.802,0.297,129.822,4,0.468,noon
16,minority,Suddenly,sloppy dim,2020-03-27,147370,52,0,1,0.832,0.47,0.385,0.0,0.124,-8.899,0.0799,99.929,4,0.904,noon
17,世界の秘密,世界の秘密,Vaundy,2020-12-27,221250,65,6,0,0.683,0.142,0.53,0.0,0.0978,-6.749,0.0614,159.969,4,0.823,noon
18,Hug,Hug,空音,2019-08-21,184728,57,1,0,0.727,0.871,0.83,0.0,0.0907,-3.129,0.164,91.859,4,0.839,noon
19,そよ風,そよ風,SHISE,2020-12-26,190909,49,6,1,0.758,0.811,0.365,0.000909,0.12,-8.198,0.0704,77.058,4,0.496,noon
20,Pop Corn,BLOOM iSLAND,BLOOM VASE,2020-07-21,157714,52,7,1,0.746,0.547,0.757,1.04e-06,0.094,-4.149,0.0414,87.509,4,0.712,noon
21,あかるいみらい,21st Century Cultboi Ride a Sk8board,Mom,2020-07-08,131789,50,8,0,0.794,0.0886,0.752,2.72e-05,0.108,-5.564,0.266,79.994,4,0.691,noon
22,Our Style,Our Style,WILYWNKA,2021-06-11,242486,0,9,1,0.65,0.175,0.687,2.09e-05,0.0344,-4.455,0.112,92.05,4,0.806,noon
23,Look at Me Now,Look at Me Now,Punch Parade,2020-08-14,189916,50,1,1,0.722,0.324,0.481,2.89e-06,0.0734,-9.849,0.113,161.984,4,0.662,noon
24,Have a nice day,Have a nice day,imase,2021-12-19,175693,64,5,1,0.85,0.371,0.591,3.99e-06,0.117,-4.73,0.0386,94.018,4,0.564,noon
25,逃避行,逃避行,imase,2022-01-30,191689,59,5,1,0.926,0.812,0.383,0.00238,0.254,-7.729,0.0776,134.076,4,0.39,noon
26,One of a Kind,To Belonging,Sam Ock,2020-06-26,219702,55,11,1,0.892,0.571,0.393,0.0,0.132,-5.633,0.196,88.986,4,0.825,noon
27,Mood (feat. iann dior),El Dorado,24kGoldn,2021-03-26,140533,84,7,0,0.701,0.174,0.716,0.0,0.324,-3.671,0.0361,91.007,4,0.732,noon
28,"GOOD VIBES ONLY feat. JP THE WAVY, EXILE SHOKICHI",GIFTED,SALU,2019-12-04,201080,53,8,1,0.736,0.526,0.801,0.0,0.112,-5.902,0.225,166.169,4,0.923,noon
29,High School Monster,ろくでなし,ロクデナシ宇宙,2022-07-07,187100,57,9,1,0.742,0.0868,0.848,0.0,0.135,-3.384,0.0347,119.976,4,0.621,noon
30,NINOKUNI,Ozworld,OZworld a.k.a. R'kuma,2019-06-09,257282,33,9,0,0.755,0.245,0.818,0.0,0.0666,-4.057,0.0764,129.947,4,0.813,noon
31,キドアイラク,ポップロックダンスガールズ,TASK,2016-02-19,232750,22,11,0,0.586,0.00439,0.908,0.000734,0.107,-2.93,0.0496,144.953,4,0.881,noon
32,Smash!!!,Smash!!!,DJ KANJI,2021-05-25,118360,45,10,1,0.798,0.398,0.704,0.0,0.362,-7.345,0.11,138.082,4,0.889,noon
33,PAPER SHIT,T.B.T.H,eyden,2022-01-02,198055,47,0,1,0.937,0.281,0.38,0.0,0.0665,-10.6,0.537,140.019,4,0.871,noon
34,Osanpo,JUNK TAPE,SOCKS,2022-09-23,144230,40,1,1,0.958,0.178,0.781,1.19e-05,0.186,-3.022,0.163,130.054,4,0.742,noon
35,なんでも言っちゃって,LOGIC,LEX,2021-09-29,146666,59,2,0,0.799,0.0344,0.676,0.0,0.0991,-4.757,0.0564,108.004,4,0.663,noon
36,SUMMER LOVE,SUMMER LOVE,RYKEYDADDYDIRTY,2022-08-06,181607,38,6,1,0.584,0.0731,0.748,0.00287,0.121,-6.259,0.0899,83.561,4,0.786,noon
37,HOUSE PARTY,HOUSE PARTY,eyden,2022-06-18,160734,47,0,1,0.874,0.199,0.768,1.31e-06,0.118,-4.863,0.0616,109.991,4,0.306,noon
38,堕天,堕天,Creepy Nuts,2022-07-08,172948,70,1,1,0.543,0.0118,0.901,0.0,0.325,-4.8,0.219,199.892,4,0.75,noon
39,助演男優賞,INDIES COMPLETE,Creepy Nuts,2018-07-25,239826,56,6,0,0.688,0.0356,0.904,0.0,0.415,-3.726,0.257,145.126,4,0.846,noon
40,il vento d'oro,ジョジョの奇妙な冒険 黄金の風 O.S.T (vol.1 Overture),Yugo Kanno,2018-12-19,295575,48,11,1,0.491,0.00652,0.915,0.125,0.0906,-4.834,0.143,134.947,4,0.582,noon
41,悪党の詩,THE CITY OF DOGG,D.O,2012-05-23,169040,44,4,0,0.462,0.00756,0.755,0.0,0.125,-6.376,0.226,95.042,4,0.807,noon
42,のびしろ,Case,Creepy Nuts,2021-09-01,236840,65,11,0,0.669,0.252,0.928,0.0,0.0686,-2.926,0.0699,174.004,4,0.963,noon
43,2way nice guy,2way nice guy,Creepy Nuts,2022-06-01,225666,56,11,0,0.769,0.00304,0.939,0.0,0.268,-5.506,0.0491,130.073,4,0.806,noon
44,ばかまじめ,ばかまじめ,Creepy Nuts,2022-03-20,172366,64,10,0,0.61,0.194,0.938,0.0,0.518,-3.592,0.0525,90.949,4,0.802,noon
45,Kawasaki Drift,BAD HOP HOUSE,BAD HOP,2018-06-15,277307,51,10,0,0.739,0.0119,0.679,0.0,0.127,-5.411,0.281,176.142,4,0.345,noon
46,韻波句徒,BEST,CHEHON,2016-05-25,291440,61,10,0,0.806,0.408,0.863,0.0,0.0755,-2.679,0.0518,122.03,4,0.928,noon
47,それゆけワンダーランド,2018,騒音のない世界,2019-09-28,235690,45,6,0,0.576,0.376,0.979,0.175,0.234,-3.983,0.0337,181.036,4,0.667,noon
48,OMG,NIGIRI,SUSHIBOYS,2017-10-15,184914,48,0,1,0.734,0.169,0.876,2.37e-06,0.0917,-6.387,0.305,79.954,4,0.73,noon
49,パッと咲いて散って灰に,パッと咲いて散って灰に,Creepy Nuts,2022-03-09,163300,56,11,0,0.769,0.0389,0.953,0.0,0.261,-2.973,0.112,90.493,4,0.68,noon
50,We Comin' (f**k dat s**t),We Comin' (f**k dat s**t),JP THE WAVY,2022-02-23,117163,42,11,1,0.834,0.0048,0.751,0.0165,0.123,-9.077,0.137,166.083,4,0.763,noon
51,Sushi,We Comin' (f**k dat s**t),JP THE WAVY,2022-02-23,164440,35,2,1,0.815,0.00378,0.714,0.0302,0.106,-6.812,0.141,165.144,4,0.596,noon
52,AMATERASU,Shichihenge,Maddy Soma,2021-01-03,119732,44,10,0,0.703,0.0252,0.524,7.37e-05,0.141,-8.174,0.0768,109.964,4,0.348,noon
53,Crayon,Crayon,ZOT on the WAVE,2022-02-04,176680,64,8,1,0.791,0.157,0.859,3.71e-06,0.446,-4.524,0.0448,140.017,4,0.946,noon
54,WATASHI,WATASHI,PIEC3 POPPO,2020-11-10,168062,39,5,0,0.871,0.402,0.781,1.04e-05,0.0763,-5.566,0.064,103.983,4,0.47,noon
55,GIOTF (feat. JP THE WAVY),GIOTF (feat. JP THE WAVY),¥ellow Bucks,2022-01-24,163189,53,6,1,0.866,0.162,0.809,0.0,0.0688,-3.443,0.214,167.975,4,0.939,noon
56,CBD(Remix) (feat. Red Eye & D.O),CBD(Remix) (feat. Red Eye & D.O),KOHH,2021-08-20,301074,51,1,1,0.928,0.0516,0.393,0.0,0.0553,-9.486,0.367,127.961,4,0.526,noon
57,GILA GILA,GILA GILA,Awich,2021-07-30,251818,56,11,1,0.854,0.0307,0.789,0.0,0.307,-5.996,0.217,132.02,4,0.443,noon
58,梅田ナイトフィーバー19' - From THE FIRST TAKE,梅田ナイトフィーバー19' - From THE FIRST TAKE,梅田サイファー,2021-10-13,362098,49,6,1,0.831,0.28,0.925,0.0,0.35,-4.872,0.287,111.055,4,0.799,noon
59,畳 -Tatami- - REMIX,OZWORLD,OZworld,2019-06-09,250909,44,9,1,0.756,0.118,0.866,0.0,0.151,-3.846,0.12,149.974,4,0.604,noon
60,"WAVEBODY (Remix) feat. OZworld, LEX & ¥ellow Bucks",WAVY TAPE 2(Deluxe),JP THE WAVY,2021-09-22,223266,55,1,1,0.889,0.0273,0.721,0.000189,0.139,-6.061,0.159,87.464,4,0.839,noon
61,STRANGER,COSMO WORLD,LEX,2021-07-21,218666,0,5,1,0.819,0.292,0.572,0.0,0.225,-5.931,0.0878,134.957,4,0.909,noon
62,デリヘル呼んだら君が来た,Jumble,Various Artists,2018-02-07,249160,41,9,0,0.588,0.003,0.919,0.0,0.199,-2.481,0.0424,95.019,4,0.756,noon
63,夢物語,Episode III,百足,2021-08-01,175403,42,1,1,0.736,0.38,0.767,0.0,0.199,-3.076,0.0445,90.093,4,0.507,noon
64,Yessir,Jungle,¥ellow Bucks,2020-08-21,172389,63,10,0,0.803,0.184,0.588,0.0,0.0792,-4.68,0.0641,89.973,4,0.571,noon
65,合法的トビ方ノススメ,INDIES COMPLETE,Creepy Nuts,2018-07-25,240328,57,6,1,0.737,0.791,0.971,0.0,0.358,-3.292,0.21,133.025,4,0.776,noon
66,よふかしのうた,よふかしのうた,Creepy Nuts,2018-12-12,237913,67,5,0,0.746,0.188,0.976,0.0,0.353,-3.123,0.187,115.048,4,0.912,noon
67,STAY,LIFE IS WAVY,JP THE WAVY,2020-04-08,163519,7,1,1,0.815,0.00611,0.747,0.0148,0.0662,-5.909,0.174,155.058,4,0.707,noon
68,Neo Gal Wop,LIFE IS WAVY,JP THE WAVY,2020-04-08,120093,20,7,1,0.813,0.043,0.62,1.06e-05,0.0833,-7.11,0.0406,119.993,4,0.414,noon
69,Pick N Choose,WAVY TAPE 2,JP THE WAVY,2021-03-31,201844,17,6,0,0.899,0.101,0.591,0.000531,0.199,-6.695,0.133,144.984,4,0.757,noon
70,My Resort,Jungle,¥ellow Bucks,2020-08-21,132813,60,9,1,0.824,0.0314,0.752,3.93e-06,0.122,-4.496,0.035,117.991,4,0.739,noon
71,全力少年,空創クリップ,Sukima Switch,2005-07-20,272746,65,2,1,0.639,0.25,0.79,0.0,0.299,-4.156,0.0263,133.948,4,0.733,noon
72,ハルノヒ,おいしいパスタがあると聞いて,Aimyon,2020-09-09,326866,59,9,1,0.592,0.261,0.672,0.0,0.109,-2.447,0.0294,106.948,4,0.523,noon
73,裸の心,おいしいパスタがあると聞いて,Aimyon,2020-09-09,296653,62,8,1,0.559,0.537,0.448,1.85e-05,0.0915,-4.11,0.0275,148.02,4,0.354,noon
74,みんな空の下,みんな空の下,ayaka,2009-07-01,296213,54,7,1,0.514,0.39,0.58,0.0,0.234,-5.269,0.0291,151.83,4,0.475,noon
75,カブトムシ,カブトムシ,aiko,1999-11-17,313066,61,0,0,0.5,0.111,0.475,0.0,0.28,-4.834,0.0268,149.096,4,0.255,noon
76,歌うたいのバラッド,Because,Kazuyoshi Saito,1997-12-26,395733,59,2,1,0.554,0.0662,0.483,0.0,0.118,-8.116,0.0231,75.042,4,0.445,noon
77,君はロックを聴かない,青春のエキサイトメント,Aimyon,2017-09-12,246306,65,7,1,0.524,0.00135,0.687,0.0,0.169,-4.039,0.0267,99.919,4,0.619,noon
78,恋,POP VIRUS,Gen Hoshino,2018-12-19,251266,56,9,1,0.598,0.00081,0.819,0.0,0.218,-2.619,0.0911,158.115,4,0.878,noon
79,ひまわりの約束,All Time Best ハタモトヒロ,Motohiro Hata,2016-06-14,308640,46,10,1,0.475,0.167,0.468,0.0,0.186,-6.123,0.0343,157.798,4,0.365,noon
80,Love so sweet,Love so sweet,ARASHI,2007-02-21,289845,0,0,1,0.584,0.1,0.849,0.0,0.304,-3.983,0.0403,139.032,4,0.707,noon
81,夏祭り,(初),Whiteberry,2000-09-06,220706,0,5,0,0.514,0.109,0.775,3.75e-06,0.261,-5.151,0.0466,140.976,4,0.664,noon
82,TOMORROW,RISEⅠ,Mayo Okamoto,2000-05-31,287160,54,2,0,0.618,0.0518,0.911,8.62e-05,0.367,-2.831,0.0251,105.724,4,0.722,noon
83,ドラえもん,ドラえもん,Gen Hoshino,2018-02-28,239933,54,4,1,0.64,0.00676,0.547,4.95e-05,0.0585,-4.129,0.038,159.992,4,0.95,noon
84,Monster,Monster,ARASHI,2010-05-19,267514,52,10,0,0.656,0.192,0.939,0.0,0.373,-4.042,0.0792,134.946,4,0.744,noon
85,Happiness,Happiness,ARASHI,2007-09-05,258250,53,1,1,0.591,0.00649,0.915,0.0,0.0825,-3.018,0.0431,115.012,4,0.712,noon
86,Story,MIC-AーHOLIC A.I.,AI,2006-09-27,288506,59,0,1,0.586,0.427,0.632,0.0,0.109,-4.714,0.0268,125.94,4,0.391,noon
87,愛をこめて花束を,Superfly,Superfly,2007-04-04,295600,62,7,1,0.37,0.151,0.8,3.33e-06,0.089,-3.403,0.0436,161.934,4,0.451,noon
88,三日月,First Message,ayaka,2006-11-01,279013,58,2,1,0.496,0.293,0.476,0.0,0.0771,-5.077,0.0266,143.758,4,0.405,noon
89,未来予想図Ⅱ,LOVE GOES ON …,DREAMS COME TRUE,1989,440040,57,6,1,0.442,0.314,0.366,0.0,0.253,-11.765,0.0255,147.833,4,0.223,noon
90,にじいろ,レインボーロード,ayaka,2015-04-15,224720,57,2,1,0.643,0.121,0.569,0.0,0.0752,-4.401,0.0232,91.966,4,0.62,noon
91,マリーゴールド,マリーゴールド,Aimyon,2018-07-18,306626,52,2,1,0.545,0.0452,0.745,0.0,0.0907,-3.098,0.0286,106.094,4,0.413,noon
92,歩いて帰ろう,ワンダフルフィッシュ,Kazuyoshi Saito,1995-02-01,212066,57,5,1,0.642,0.419,0.901,1.78e-06,0.1,-4.497,0.0301,95.9,4,0.883,noon
93,テルーの唄,テルーの唄,Aoi Teshima,2006-06-07,289120,47,1,1,0.266,0.938,0.0891,6.78e-05,0.198,-14.254,0.0296,89.621,5,0.231,noon
94,マリーゴールド,瞬間的シックスセンス,Aimyon,2019-02-13,306626,65,2,1,0.545,0.0452,0.745,0.0,0.0907,-3.098,0.0286,106.094,4,0.413,noon
95,ひるがお,空と歌えば,Liho,2021-04-07,252437,1,0,1,0.659,0.0982,0.689,0.0,0.147,-5.983,0.0347,140.041,4,0.689,noon
96,てっぺん,空と歌えば,Liho,2021-04-07,186229,1,6,0,0.51,0.000299,0.916,0.0,0.223,-3.993,0.0529,92.911,4,0.479,noon
97,栄冠は君に輝く,君に伝えたいこと,Ikusaburo Yamazaki,2020-12-02,168506,25,10,1,0.594,0.935,0.473,0.0,0.192,-7.299,0.0282,111.0,4,0.853,noon
98,野に咲く花のように,ダ・カーポ デビュー35周年記念 CD-BOX,Da Capo,2008-01-30,168720,38,0,1,0.627,0.684,0.438,0.000532,0.1,-8.41,0.0237,96.221,4,0.732,noon
99,DAN DAN 心魅かれてく,TODAY IS ANOTHER DAY,ZARD,1996-07-08,269803,53,4,1,0.566,0.404,0.95,0.000502,0.146,-3.545,0.0447,133.006,4,0.584,noon
100,マイ フレンド,ZARD Forever Best ~25th Anniversary~,ZARD,2016-02-10,259966,32,0,1,0.439,0.122,0.802,0.00179,0.153,-5.092,0.0359,129.552,4,0.56,noon
101,負けないで,Golden Best ~15th Anniversary~,ZARD,2006-10-25,224960,23,7,1,0.613,0.335,0.905,0.0,0.0853,-2.956,0.0402,125.788,3,0.37,noon
102,揺れる想い,揺れる想い,ZARD,1993-07-10,264476,49,5,1,0.622,0.503,0.941,3.56e-06,0.206,-2.739,0.0801,121.98,4,0.498,noon
103,瞳そらさないで,forever you,ZARD,1995-03-10,290046,23,8,1,0.535,0.834,0.491,0.00131,0.143,-7.233,0.0265,96.017,4,0.398,noon
104,永遠 (Intro Piano Version),ZARD BEST The Single Collection ~軌跡~,ZARD,1999-05-28,222808,23,4,1,0.48,0.639,0.544,3.37e-05,0.0966,-4.018,0.027,77.88,4,0.17,noon
105,とびら開けて - 日本語歌,アナと雪の女王 (オリジナル・サウンドトラック 日本版),Various Artists,2014-03-19,124733,0,6,0,0.742,0.503,0.563,0.0,0.148,-7.249,0.0637,100.104,4,0.691,noon
106,雪だるまつくろう - 日本語歌,アナと雪の女王 (オリジナル・サウンドトラック 日本版),Various Artists,2014-03-19,206506,0,3,1,0.327,0.923,0.0904,0.000123,0.255,-14.369,0.0669,75.067,4,0.166,noon
107,レット・イット・ゴー〜ありのままで〜 - 日本語歌,アナと雪の女王 (オリジナル・サウンドトラック 日本版),Various Artists,2014-03-19,223840,0,8,1,0.536,0.607,0.491,0.0,0.12,-6.621,0.0285,137.09,4,0.335,noon
108,夢をかなえてドラえもん,Anisong Princess #3,Airii Yami,2016-11-02,247804,0,5,1,0.682,0.234,0.81,0.000159,0.143,-1.146,0.0251,122.961,4,0.728,noon
109,"Into the Unknown - From ""Frozen 2""","Into the Unknown (From ""Frozen 2"")",Takako Matsu,2019-11-15,194866,0,1,1,0.357,0.845,0.38,1.98e-05,0.133,-7.733,0.0453,94.226,4,0.345,noon
110,僕が死のうと思ったのは,メッセージボトル,amazarashi,2017-03-29,367693,44,0,1,0.653,0.531,0.525,0.0,0.131,-5.406,0.0309,83.017,4,0.404,noon
111,嘘煙草,Liframe,Liho,2020-03-04,228437,0,7,1,0.603,0.638,0.536,0.0,0.0871,-7.089,0.0242,87.955,4,0.444,noon
112,Anthem,Anthem,Liho,2022-02-20,314001,0,7,1,0.407,0.0102,0.615,0.0,0.239,-4.093,0.0306,75.005,4,0.367,noon
113,ハピネス,INDEPENDENT,AI,2012-02-22,255760,57,2,1,0.642,0.0948,0.914,0.0,0.365,-3.316,0.115,94.004,4,0.448,noon
114,家族になろうよ,家族になろうよ/fighting pose,Masaharu Fukuyama,2011-08-31,307813,55,8,1,0.495,0.539,0.422,5.46e-06,0.111,-6.757,0.0314,147.556,4,0.219,noon
115,桜坂,f,Masaharu Fukuyama,2001-04-25,296680,53,7,1,0.765,0.176,0.447,1.38e-05,0.142,-8.531,0.0263,103.992,4,0.461,noon
116,最愛,残響,Masaharu Fukuyama,2009-06-30,341933,48,5,1,0.666,0.948,0.175,0.0,0.079,-12.797,0.0417,77.079,4,0.294,noon
117,最前線,東京,SUPER BEAVER,2022-02-23,208840,38,8,1,0.501,0.00143,0.989,0.0,0.28,-1.703,0.104,133.941,4,0.506,noon
118,ハート,ハート,Aimyon,2021-10-20,271280,64,6,1,0.661,0.543,0.448,0.0,0.0818,-5.761,0.0522,78.114,4,0.299,noon
119,W / X / Y,Memories,Tani Yuuki,2021-12-08,278118,76,2,1,0.628,0.159,0.775,0.0,0.33,-4.479,0.0535,106.382,3,0.674,noon
120,Myra - From THE FIRST TAKE,Myra - From THE FIRST TAKE,Tani Yuuki,2020-10-30,258247,44,0,1,0.729,0.831,0.281,0.0,0.241,-8.368,0.0354,141.994,4,0.602,noon
121,限界突破×サバイバー,限界突破×サバイバー,Kiyoshi Hikawa,2017-10-25,232466,49,11,0,0.384,0.0114,0.989,0.0,0.333,-1.676,0.148,187.471,4,0.44,noon
122,ふがいない夜こそ,歓声前夜,SUPER BEAVER,2018-06-27,265385,25,0,1,0.354,0.000737,0.897,0.0,0.0647,-3.455,0.0546,158.288,4,0.703,noon
123,さよなら絶望,アイラヴユー,SUPER BEAVER,2021-02-03,117893,38,2,1,0.555,0.0322,0.981,0.0,0.0904,-2.03,0.0862,112.13,4,0.341,noon
124,未来の話をしよう,東京,SUPER BEAVER,2022-02-23,277333,41,3,0,0.507,0.000314,0.897,0.0,0.346,-2.69,0.037,142.95,4,0.644,noon
125,MORE & MORE,MORE & MORE,TWICE,2020-06-01,199653,55,5,1,0.739,0.0312,0.841,0.0,0.173,-4.162,0.06,106.99,4,0.562,noon
126,Fanfare,Fanfare,TWICE,2020-06-19,220240,54,6,1,0.669,0.0302,0.956,9.78e-06,0.0764,-2.49,0.126,114.922,4,0.81,noon
127,FIESTA,BLOOM*IZ,IZ*ONE,2020-02-17,217760,0,7,1,0.758,0.062,0.927,0.0,0.343,-2.105,0.0537,122.999,4,0.738,noon
128,Left & Right,Heng:garæ,SEVENTEEN,2020-06-22,201773,0,6,0,0.725,0.132,0.823,0.0,0.104,-3.868,0.115,149.994,4,0.958,noon
129,La Vie en Rose,COLOR*IZ,IZ*ONE,2018-10-29,218993,0,9,0,0.698,0.0899,0.908,0.0,0.115,-1.211,0.0548,115.975,4,0.606,noon
130,Heart Shaker,Merry & Happy,TWICE,2017-12-11,186895,55,8,1,0.563,0.0949,0.945,0.0,0.216,-0.387,0.0635,164.077,4,0.865,noon
131,BIRTHDAY,BIRTHDAY,JEON SOMI,2019-06-13,185796,0,7,1,0.687,0.0163,0.843,9.96e-06,0.0372,-4.242,0.109,180.055,4,0.597,noon
132,Violeta,HEART*IZ,IZ*ONE,2019-04-01,200913,0,7,1,0.715,0.00373,0.88,0.0,0.104,-2.94,0.0685,115.012,4,0.669,noon
133,BBoom BBoom,GREAT!,MOMOLAND,2018-01-03,208863,66,3,0,0.785,0.0149,0.744,0.00666,0.0661,-4.249,0.0369,126.018,4,0.833,noon
134,BBIBBI,BBIBBI,IU,2018-10-10,194426,69,7,1,0.839,0.241,0.617,0.0,0.3,-4.692,0.331,143.894,4,0.821,noon
135,BAAM,Fun to The World,MOMOLAND,2018-06-26,208474,60,5,0,0.725,0.115,0.94,0.00431,0.0864,-2.32,0.0435,127.051,4,0.905,noon
136,Red Flavor,The Red Summer - Summer Mini Album,Red Velvet,2017-07-09,191139,67,9,1,0.709,0.0409,0.917,0.0,0.0839,-3.315,0.189,125.042,4,0.515,noon
137,Blueming,Love poem,IU,2019-11-18,217053,69,0,1,0.819,0.0849,0.674,0.0,0.0667,-3.145,0.0587,106.032,4,0.682,noon
138,DNA,Love Yourself 承 'Her',BTS,2017-09-18,223122,2,1,0,0.598,0.022,0.775,0.0,0.0677,-4.035,0.0545,129.819,4,0.687,noon
139,Ko Ko Bop,THE WAR - The 4th Album,EXO,2017-07-18,190422,65,0,1,0.749,0.0319,0.85,4.81e-05,0.0678,-4.346,0.0468,145.983,4,0.672,noon
140,Yes I am,Purple,MAMAMOO,2017-06-22,211660,0,0,1,0.739,0.145,0.893,0.0,0.0518,-2.778,0.223,120.102,4,0.66,noon
141,LOVE BOMB,From.9,fromis_9,2018-10-10,199966,0,6,0,0.627,0.126,0.932,0.0,0.351,-1.891,0.162,154.045,4,0.85,noon
142,Q&A,Cherry Bullet 1st Single Album Let's Play Cherry Bullet,Cherry Bullet,2019-01-21,206164,49,11,1,0.802,0.0614,0.893,0.0,0.226,-4.103,0.0852,120.003,4,0.593,noon
143,WEE WOO,The 1st Mini Album 'HI! PRISTIN',PRISTIN,2017-03-21,192830,51,10,1,0.834,0.0895,0.917,0.000167,0.0532,-2.838,0.0982,129.981,4,0.699,noon
144,Bingle Bangle,BINGLE BANGLE,AOA,2018-05-28,221778,47,7,1,0.802,0.0293,0.864,0.0,0.335,-3.888,0.0639,111.994,4,0.745,noon
145,Touch my body,TOUCH N MOVE,SISTAR,2014-07-21,206500,59,9,1,0.633,0.0437,0.915,0.0,0.107,-2.347,0.106,128.033,4,0.622,noon
146,WE LIKE,The 2nd Mini Album ‘SCHXXL OUT’,PRISTIN,2017-08-23,197544,43,9,1,0.71,0.193,0.965,0.0,0.328,-3.577,0.091,119.034,4,0.537,noon
147,CROWN,The Dream Chapter: STAR,TOMORROW X TOGETHER,2019-03-04,230706,49,5,1,0.622,0.0505,0.8,0.0,0.0619,-5.819,0.0425,110.977,4,0.58,noon
148,Feel Special,Feel Special,TWICE,2019-09-23,206868,61,1,1,0.709,0.0296,0.959,0.00188,0.107,-1.339,0.0603,128.983,4,0.644,noon
149,What is Love?,Summer Nights,TWICE,2018-07-09,208238,60,8,1,0.573,0.0846,0.91,0.0,0.266,-1.578,0.064,169.982,4,0.602,noon
150,Wow Thing,Wow Thing,Various Artists,2018-09-28,171998,57,5,0,0.703,0.115,0.894,0.0,0.363,-3.52,0.281,104.043,4,0.737,noon
151,Ah-Choo,Lovelyz8,Lovelyz,2015-10-01,218474,49,5,1,0.729,0.315,0.898,0.0,0.107,-1.029,0.0391,126.977,4,0.517,noon
152,花火 (Remember Me),OH MY GIRL JAPAN DEBUT ALBUM,OH MY GIRL,2019-01-09,194840,0,7,1,0.661,0.151,0.898,0.0,0.118,-2.452,0.108,130.981,4,0.891,noon
153,Darling,Girl's Day Love Second Album,Girl's Day,2015-07-07,193587,50,11,0,0.503,0.0414,0.868,0.0,0.35,-3.727,0.179,175.62,4,0.708,noon
154,LIKEY,twicetagram,TWICE,2017-11-01,207824,53,4,0,0.723,0.431,0.898,0.0015,0.136,-1.081,0.0354,131.96,4,0.394,noon
155,VERY NICE,Love&Letter repackage album,SEVENTEEN,2016-07-04,192092,74,3,0,0.746,0.0526,0.898,0.0,0.0858,-2.818,0.0725,121.967,4,0.879,noon
