,name,album,artist,release_date,length,popularity,key,mode,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,valence,answer
10,ロマンスの神様,SUCCESS STORY,Kohmi Hirose,1993-12-16,269283,59,1,1,0.667,0.149,0.802,1.84e-06,0.163,-6.495,0.0349,125.91,4,0.556,sunny
11,Choo Choo TRAIN,EXTREME BEST,EXILE,2016-09-27,284266,47,10,0,0.545,0.000356,0.941,0.000422,0.181,-4.315,0.143,115.032,4,0.806,sunny
12,Hero too,TVアニメ『僕のヒーローアカデミア』4th オリジナルサウンドトラック,Yuki Hayashi,2020-03-25,258146,46,3,1,0.572,0.0034,0.949,1.08e-06,0.233,-4.296,0.0639,97.531,4,0.433,sunny
13,Happiness,"Dream""A""live",ARASHI,2008-04-23,258250,55,1,1,0.591,0.00649,0.915,0.0,0.0825,-3.018,0.0431,115.012,4,0.712,sunny
14,Lovers,アンサーパレード,sumika,2016-05-25,250800,62,11,1,0.606,0.0657,0.919,0.0,0.297,-2.024,0.0318,114.474,4,0.766,sunny
15,ロマンチシズム,Attitude,Mrs. GREEN APPLE,2019-10-01,213613,62,10,1,0.598,0.0038,0.878,0.0,0.0468,-3.144,0.0634,125.529,4,0.901,sunny
16,ノーダウト,エスカパレード,Official HIGE DANdism,2018-04-11,202394,64,2,1,0.574,0.0585,0.936,0.0,0.336,-3.185,0.0701,149.954,4,0.792,sunny
17,パプリカ,パプリカ,Foorin,2018-08-13,208346,51,11,1,0.748,0.137,0.773,0.0,0.771,-5.04,0.0419,100.986,4,0.733,sunny
18,フィクション,Chime,sumika,2019-03-13,233253,58,2,1,0.658,0.144,0.94,0.0,0.104,-2.427,0.0339,122.992,4,0.694,sunny
19,気まぐれロマンティック,My song Your song,Ikimonogakari,2008-12-24,244000,52,2,1,0.545,0.117,0.874,0.0,0.304,-2.489,0.0488,85.096,4,0.691,sunny
20,ばかまじめ,ばかまじめ,Creepy Nuts,2022-03-20,172366,64,10,0,0.61,0.194,0.938,0.0,0.518,-3.592,0.0525,90.949,4,0.802,sunny
21,イケナイ太陽,PANIC FANCY,ORANGE RANGE,2008-07-09,239186,60,4,0,0.512,0.000301,0.942,1.26e-06,0.133,-4.336,0.0451,145.062,4,0.833,sunny
22,夏の思い出,ケツノポリス3,Ketsumeishi,2003-10-01,391733,53,11,1,0.686,0.171,0.909,0.0,0.553,-4.193,0.0541,94.009,4,0.818,sunny
23,マシ・マシ,マシ・マシ,NICO Touches the Walls,2016-11-30,247960,50,10,1,0.641,0.0886,0.885,0.0,0.293,-3.046,0.0403,101.99,4,0.866,sunny
24,青と夏,Attitude,Mrs. GREEN APPLE,2019-10-01,270026,65,4,1,0.31,0.00157,0.891,0.0,0.284,-1.66,0.0469,184.886,4,0.748,sunny
25,学園天国,DAYS,Dream5,2011-05-04,155933,36,11,1,0.554,0.112,0.881,4.17e-06,0.264,-3.182,0.101,181.898,4,0.771,sunny
26,お願いマッスル(カバー),お願いマッスル(カバー),なかやまきんに君 & Singing Cosplayer Hikari,2022-01-26,221363,46,1,1,0.734,0.14,0.923,0.0,0.226,-2.387,0.059,132.016,4,0.804,sunny
27,明るい未来,fam fam,never young beach,2016-06-08,233769,47,10,1,0.536,0.118,0.825,0.00794,0.0585,-5.028,0.031,94.989,4,0.741,sunny
28,Laurentech,QUEST,SPECIAL OTHERS,2008-02-06,567063,33,6,0,0.486,0.00353,0.882,0.22,0.0952,-6.453,0.0556,166.963,4,0.547,sunny
29,Better Together,In Between Dreams,Jack Johnson,2005-01-01,207680,71,5,1,0.868,0.308,0.347,2e-05,0.11,-9.529,0.0536,110.059,4,0.659,sunny
30,Upside Down,Upside Down,Jack Johnson,2006-02-24,209546,73,4,1,0.792,0.255,0.647,0.000223,0.132,-8.314,0.045,102.477,4,0.694,sunny
31,outdoors,WORLD RECORD,cero,2011-01-26,266333,0,8,1,0.631,0.404,0.667,0.112,0.106,-8.197,0.05,117.991,4,0.504,sunny
32,The Modern Age,Is This It,The Strokes,2001-07-30,208306,58,2,1,0.53,0.0124,0.89,0.759,0.143,-6.042,0.0328,145.958,4,0.868,sunny
33,Take Me Out,Franz Ferdinand,Franz Ferdinand,2004-02-16,237026,80,4,0,0.277,0.000409,0.663,0.00051,0.136,-8.821,0.0377,104.561,4,0.527,sunny
34,Do You Want To,You Could Have It So Much Better,Franz Ferdinand,2005-10-03,215000,64,0,1,0.412,0.0724,0.944,0.000493,0.801,-2.896,0.0448,123.091,4,0.79,sunny
35,Transit in Thailand,ファンファーレと熱狂,andymori,2010-02-03,113160,0,9,1,0.322,1.28e-05,0.972,0.000689,0.416,-4.567,0.0807,201.914,4,0.964,sunny
36,革命,革命,andymori,2011-06-08,98480,0,11,0,0.485,0.000957,0.959,0.0,0.26,-3.642,0.057,103.806,4,0.715,sunny
37,"Lights Out, Words Gone",A Different Kind OF Fix,Bombay Bicycle Club,2011-01-01,301346,17,8,1,0.641,0.574,0.759,0.455,0.106,-7.302,0.0295,105.991,4,0.642,sunny
38,We Will Rock You - Remastered 2011,News Of The World (2011 Remaster),Queen,1977-10-28,122066,79,2,1,0.692,0.676,0.497,0.0,0.259,-7.316,0.119,81.308,4,0.475,sunny
39,Lisztomania,Wolfgang Amadeus Phoenix,Phoenix,2009,241546,65,0,1,0.635,0.0349,0.786,0.00767,0.497,-6.46,0.0377,97.54,4,0.305,sunny
40,風をあつめて,風街ろまん,はっぴいえんど,2002-09-11,246333,42,4,1,0.724,0.652,0.457,5.08e-05,0.134,-7.64,0.0297,91.756,4,0.848,sunny
41,サボテンレコード,フジファブリック,Fujifabric,2004-11-10,242933,49,11,1,0.643,0.0188,0.552,1.01e-05,0.0751,-9.3,0.0321,135.089,4,0.736,sunny
42,We Are Young (feat. Janelle Monáe),Some Nights,fun.,2012-02-14,250626,78,10,1,0.378,0.02,0.638,7.66e-05,0.0849,-5.576,0.075,184.086,4,0.735,sunny
43,Some Nights,Some Nights,fun.,2012-02-14,277040,72,0,1,0.672,0.0178,0.738,6.75e-05,0.0927,-7.045,0.0506,107.938,4,0.392,sunny
44,Carry On,Some Nights,fun.,2012-02-14,278373,58,5,1,0.388,0.118,0.694,0.000293,0.082,-5.769,0.0735,145.434,5,0.365,sunny
45,君が誰かの彼女になりくさっても,song book #1,STRANGE REITARO,2021-10-08,349999,25,9,1,0.556,0.938,0.0209,2.05e-05,0.108,-15.127,0.0413,117.501,4,0.219,sunny
46,ひこうき雲,ひこうき雲,Yumi Arai,1973-11-20,206164,60,3,1,0.403,0.366,0.432,0.00696,0.0957,-9.028,0.0261,171.848,4,0.246,sunny
47,赤い電車,NIKKI,Quruli,2005-11-23,258000,34,5,1,0.742,0.00494,0.588,0.597,0.0934,-10.094,0.0332,110.027,4,0.776,sunny
48,今夜はブギー・バック - nice vocal,LIFE,Ozawa Kenji,1994-08-31,370971,51,7,1,0.839,0.173,0.538,0.00012,0.148,-12.967,0.0786,92.932,4,0.593,sunny
49,ぼくらが旅に出る理由,LIFE,Ozawa Kenji,1994-08-31,416847,46,4,1,0.719,0.0534,0.845,0.0411,0.366,-9.262,0.0895,130.902,4,0.74,sunny
50,ロビンソン,ハチミツ,SPITZ,1995,260133,61,6,0,0.623,0.428,0.787,0.0,0.16,-4.339,0.0274,111.181,4,0.585,sunny
51,裸の心,おいしいパスタがあると聞いて,Aimyon,2020-09-09,296653,62,8,1,0.559,0.537,0.448,1.85e-05,0.0915,-4.11,0.0275,148.02,4,0.354,sunny
52,マリーゴールド,瞬間的シックスセンス,Aimyon,2019-02-13,306626,65,2,1,0.545,0.0452,0.745,0.0,0.0907,-3.098,0.0286,106.094,4,0.413,sunny
53,君はロックを聴かない,青春のエキサイトメント,Aimyon,2017-09-12,246306,65,7,1,0.524,0.00135,0.687,0.0,0.169,-4.039,0.0267,99.919,4,0.619,sunny
54,でこぼこ,でこぼこ,Furui Riho,2021-06-09,271124,31,6,1,0.512,0.888,0.386,0.00269,0.151,-8.794,0.12,80.279,4,0.739,sunny
55,totonoi,totonoi,EOW,2020-11-04,226363,35,5,0,0.718,0.295,0.683,0.0,0.05,-8.497,0.081,110.037,4,0.645,sunny
56,Wonderland,Shade,iri,2019-03-06,224786,57,0,1,0.724,0.325,0.829,0.000979,0.0855,-5.759,0.033,95.006,4,0.528,sunny
57,渦,渦,iri,2021-06-16,300713,48,1,0,0.734,0.0204,0.682,0.000251,0.0974,-8.891,0.0792,109.99,4,0.673,sunny
58,Sparkle,Sparkle,iri,2020-03-25,255026,43,4,0,0.583,0.00207,0.871,0.0,0.0847,-5.836,0.0647,183.908,4,0.801,sunny
59,Peak,Shade,iri,2019-03-06,232893,34,11,0,0.888,0.691,0.586,2.39e-05,0.0737,-7.653,0.166,98.005,4,0.462,sunny
60,24-25,Sparkle,iri,2020-03-25,236546,44,8,0,0.671,0.0273,0.795,0.0,0.0532,-6.083,0.0458,90.009,4,0.725,sunny
61,ナイーブ,OOTD,ASOBOiSM,2020-10-16,237519,21,8,1,0.629,0.306,0.806,1.14e-06,0.0451,-5.643,0.0336,92.0,4,0.664,sunny
62,チェリー,インディゴ地平線,SPITZ,1996,259933,66,0,1,0.646,0.227,0.805,1.95e-05,0.0901,-3.422,0.0292,97.201,4,0.748,sunny
63,空も飛べるはず,CYCLE HIT 1991-1997 Spitz Complete Single Collection,SPITZ,2006-03-25,271400,62,0,1,0.593,0.0424,0.81,2.83e-06,0.119,-4.389,0.0278,114.936,4,0.67,sunny
64,スターゲイザー,色色衣,SPITZ,2004,251800,48,1,0,0.489,0.0291,0.884,1.97e-06,0.367,-5.36,0.0415,115.99,4,0.605,sunny
65,HANABI,SUPERMARKET FANTASY,Mr.Children,2008-12-10,342773,63,1,1,0.638,0.157,0.766,0.0,0.124,-5.541,0.0268,112.005,4,0.595,sunny
66,名もなき詩,深海,Mr.Children,1996-06-24,328173,59,7,1,0.555,0.0417,0.852,0.0,0.2,-5.094,0.0375,125.898,4,0.7,sunny
67,innocent world,Atomic Heart,Mr.Children,1994-09-01,344906,59,4,1,0.612,0.158,0.664,0.0,0.278,-6.525,0.0267,119.822,4,0.662,sunny
68,Over,Atomic Heart,Mr.Children,1994-09-01,282440,52,10,1,0.576,0.118,0.679,0.0,0.137,-4.472,0.023,87.834,4,0.633,sunny
69,シーソーゲーム~勇敢な恋の歌~,BOLERO,Mr.Children,1997-03-05,269866,0,4,1,0.594,0.142,0.851,0.0,0.358,-5.652,0.0292,135.051,4,0.783,sunny
70,口笛,Q,Mr.Children,2000-09-27,348866,0,2,1,0.573,0.00436,0.716,3.26e-05,0.126,-5.61,0.0235,96.992,4,0.443,sunny
71,星になれたら,Kind of Love,Mr.Children,1992-12-01,301826,0,9,1,0.6,0.00354,0.893,1.46e-06,0.119,-7.971,0.0343,123.997,4,0.708,sunny
72,蘇生,It's a wonderful world,Mr.Children,2002-05-10,368026,0,0,1,0.486,0.0115,0.851,0.0,0.34,-6.302,0.0561,124.726,4,0.237,sunny
73,転がる岩、君に朝が降る,BEST HIT AKG,ASIAN KUNG-FU GENERATION,2012-01-18,278986,28,11,1,0.452,8.95e-05,0.906,0.0122,0.0916,-3.474,0.036,147.274,4,0.589,sunny
74,ソラニン,BEST HIT AKG,ASIAN KUNG-FU GENERATION,2012-01-18,275200,34,4,1,0.52,0.000184,0.778,0.217,0.0972,-4.387,0.0312,89.718,4,0.21,sunny
75,Sign,I ♥ U,Mr.Children,2005-09-21,321800,0,7,1,0.601,0.263,0.51,0.0,0.124,-6.273,0.0259,105.016,4,0.382,sunny
76,AM11:00,Street Story,HY,2003-04-16,319160,54,9,1,0.601,0.035,0.688,0.0,0.0978,-5.255,0.0288,98.015,4,0.252,sunny
77,てがみ,HY SUPER BEST,HY,2014-02-26,373173,36,9,1,0.662,0.0621,0.654,1.17e-06,0.12,-7.385,0.0333,127.007,4,0.301,sunny
78,Best life,Sparkle,iri,2020-03-25,211040,34,2,1,0.857,0.102,0.493,0.0,0.0614,-7.304,0.0635,89.963,4,0.649,sunny
79,飛行,Shade,iri,2019-03-06,283760,33,8,0,0.588,0.752,0.406,0.00708,0.142,-8.842,0.0674,62.839,4,0.384,sunny
80,Uwagaki,OOTD,ASOBOiSM,2020-10-16,191224,24,1,1,0.725,0.187,0.555,0.0,0.135,-6.592,0.067,91.002,4,0.674,sunny
81,Re:Re:,ソルファ,ASIAN KUNG-FU GENERATION,2004,228760,60,4,1,0.537,0.000318,0.864,0.123,0.108,-5.049,0.0369,153.035,4,0.727,sunny
82,ムスタング,BEST HIT AKG,ASIAN KUNG-FU GENERATION,2012-01-18,290346,40,6,0,0.557,0.000218,0.933,0.146,0.112,-3.314,0.0393,125.262,4,0.354,sunny
83,Everything (It's you),Mr.Children 1996-2000,Mr.Children,2001-07-11,320800,27,7,1,0.492,0.003,0.632,0.0,0.103,-5.859,0.0265,139.848,4,0.382,sunny
84,くるみ,シフクノオト,Mr.Children,2004-04-07,330306,50,0,1,0.568,0.0572,0.685,0.0,0.11,-6.428,0.024,95.972,4,0.285,sunny
85,渇いたkiss,It's a wonderful world,Mr.Children,2002-05-10,314000,36,2,1,0.525,0.324,0.603,0.000238,0.12,-7.399,0.0249,89.868,4,0.507,sunny
86,youthful days,It's a wonderful world,Mr.Children,2002-05-10,314640,52,4,1,0.486,0.00401,0.928,4.05e-06,0.0623,-5.888,0.0551,148.19,4,0.533,sunny
87,渚,CYCLE HIT 1991-1997 Spitz Complete Single Collection,SPITZ,2006-03-25,281480,53,7,1,0.535,0.713,0.871,0.293,0.178,-5.296,0.0474,123.011,4,0.462,sunny
88,君の街まで,ソルファ,ASIAN KUNG-FU GENERATION,2004-10-20,215866,0,1,1,0.52,0.00295,0.884,3.12e-06,0.0633,-4.733,0.0356,155.068,4,0.668,sunny
89,I'm free - maeshima soshi Remix,I'm free (maeshima soshi Remix),Furui Riho,2020-11-04,181719,31,10,0,0.696,0.209,0.893,1.9e-05,0.112,-3.481,0.139,119.994,4,0.355,sunny
90,君がいた夏,君がいた夏,Mr.Children,1992-08-21,353493,30,7,1,0.641,0.0726,0.608,0.0,0.319,-8.676,0.0266,112.997,4,0.547,sunny
91,青空,青空,aiko,2020-02-26,253693,37,5,0,0.716,0.0553,0.792,0.0,0.189,-3.381,0.0324,103.01,4,0.739,sunny
92,HELLO,HELLO,Official HIGE DANdism,2020-07-24,280453,48,1,0,0.526,0.000764,0.883,0.0,0.37,-4.335,0.035,126.968,4,0.538,sunny
93,妄想サマー,妄想サマー,SHISHAMO,2020-05-26,218226,35,0,1,0.731,0.00414,0.764,4.24e-05,0.0781,-5.123,0.0366,116.493,4,0.539,sunny
94,明日はない,明日はない,SHISHAMO,2020-05-13,220800,31,0,1,0.477,0.00122,0.964,1.73e-06,0.469,-3.596,0.07,145.049,4,0.683,sunny
95,ストロー,ストロー,aiko,2018-05-02,295938,39,6,0,0.552,0.402,0.949,4.12e-06,0.326,-2.167,0.062,136.119,4,0.738,sunny
96,ら、のはなし,瞬間的シックスセンス,Aimyon,2019-02-13,181226,55,8,1,0.568,0.0814,0.802,2.17e-06,0.14,-4.5,0.0317,124.147,4,0.562,sunny
97,琥珀色の街、上海蟹の朝,琥珀色の街、上海蟹の朝,Quruli,2016-07-06,317066,54,5,1,0.698,0.0582,0.607,2.3e-05,0.62,-8.744,0.0369,90.011,4,0.723,sunny
98,やさしさに包まれたなら,MISSLIM,Yumi Arai,1974-10-05,191726,60,6,1,0.501,0.394,0.689,3.33e-05,0.0955,-7.087,0.0288,105.538,4,0.616,sunny
99,夜明け~朝ごはんの歌,コクリコ坂から サウンドトラック,Satoshi Takebe,2011-07-13,184960,37,7,1,0.884,0.901,0.229,0.00225,0.204,-13.167,0.0474,126.03,4,0.585,sunny
100,陽のあたる場所へ,陽のあたる場所へ,HIRAIDAI,2020-07-29,232485,41,10,1,0.628,0.274,0.835,0.0,0.8,-5.047,0.171,179.816,4,0.569,sunny
101,Rainy day,百々,MONGOL800,2004-03-18,212666,14,4,1,0.425,0.213,0.872,0.0,0.296,-5.781,0.127,105.159,4,0.445,sunny
102,あるがまま,百々,MONGOL800,2004-03-18,254760,16,4,1,0.44,0.246,0.903,0.266,0.163,-5.592,0.049,177.08,4,0.577,sunny
103,morning,Change your pops,ame_no_parade,2017-03-08,218266,42,1,1,0.729,0.5,0.358,9.24e-05,0.111,-9.169,0.0379,120.988,4,0.112,sunny
104,キンモクセイ,イラつくときはいつだって,オレンジスパイニクラブ,2020-01-22,231435,0,5,1,0.554,0.0991,0.761,0.0,0.145,-3.937,0.034,105.041,4,0.327,sunny
105,ストロー,湿った夏の始まり,aiko,2018-06-06,294946,53,6,0,0.553,0.394,0.951,6.33e-06,0.324,-2.247,0.0627,136.112,4,0.745,sunny
106,Mela!,Mela!,Ryokuoushoku Shakai,2020-04-13,242066,0,8,1,0.619,0.0439,0.941,1.73e-05,0.318,-1.618,0.0584,137.967,4,0.624,sunny
107,ハニーメモリー,ハニーメモリー,aiko,2020-10-09,241293,28,0,1,0.559,0.406,0.616,1.05e-06,0.149,-6.141,0.0379,147.957,3,0.397,sunny
108,花に亡霊,花に亡霊,ヨルシカ,2020-04-22,240120,58,4,1,0.661,0.696,0.446,0.0,0.0761,-6.808,0.046,89.961,4,0.46,sunny
109,分かってないよ,ワンス・アポン・ア・リバイバル,WurtS,2021-12-01,208937,56,2,1,0.431,0.000266,0.929,2.3e-05,0.344,-3.775,0.0696,149.935,4,0.596,sunny
110,イエスタデイ,Traveler,Official HIGE DANdism,2019-10-09,299164,56,6,1,0.541,0.0442,0.8,0.0,0.398,-3.687,0.0382,129.939,4,0.56,sunny
111,I LOVE...,Editorial,Official HIGE DANdism,2021-08-18,282680,64,9,1,0.546,0.00938,0.663,0.0,0.178,-6.071,0.0536,171.698,4,0.407,sunny
112,WanteD! WanteD!,ENSEMBLE,Mrs. GREEN APPLE,2018-04-17,217386,58,0,1,0.559,0.025,0.806,0.0,0.0433,-2.461,0.0498,160.019,4,0.632,sunny
113,"Love me, Love you","Love me, Love you",Mrs. GREEN APPLE,2018-02-14,283240,55,0,1,0.762,0.0502,0.943,0.0,0.275,-2.881,0.045,129.999,4,0.806,sunny
114,空はまるで,空はまるで,Monkey Majik,2007-07-25,226960,54,9,1,0.662,0.234,0.675,0.0,0.21,-5.885,0.0451,92.016,4,0.61,sunny
115,花火,aikoの詩。,aiko,2019-06-05,281586,28,5,1,0.619,0.0912,0.959,0.0,0.0456,-3.597,0.109,96.056,4,0.508,sunny
116,浪漫飛行,KOMEGUNY,Kome Kome Club,1987,246840,0,11,1,0.708,0.117,0.649,0.00515,0.145,-11.854,0.0312,137.213,4,0.969,sunny
117,RIDE ON TIME,Listen To The Music 3,Noriyuki Makihara,2014,266613,0,11,0,0.683,0.339,0.672,0.0,0.281,-8.53,0.0299,120.009,4,0.786,sunny
118,Around The World,ENGLISH BEST,Monkey Majik,2012-12-05,221906,47,11,0,0.641,0.014,0.859,1.57e-06,0.347,-5.602,0.048,96.983,4,0.961,sunny
119,楽園ベイベー,グッジョブ!,RIP SLYME,2005-08-31,284826,51,9,1,0.776,0.0936,0.884,0.000183,0.0459,-5.792,0.055,113.046,4,0.846,sunny
120,恋におちたら,Call me Miss...,Crystal Kay,2006-02-22,268786,0,8,1,0.575,0.0304,0.869,0.0,0.0815,-5.434,0.036,101.986,4,0.598,sunny
121,明日も,SHISHAMO 4,SHISHAMO,2017-02-22,369320,58,1,1,0.415,0.0142,0.857,0.0,0.0772,-1.696,0.048,178.919,4,0.663,sunny
122,高嶺の花子さん,ラブストーリー,back number,2014-03-26,294813,65,9,1,0.54,0.066,0.923,0.0,0.124,-2.838,0.0623,137.977,4,0.343,sunny
123,115万キロのフィルム,エスカパレード,Official HIGE DANdism,2018-04-11,324633,72,3,1,0.516,0.00345,0.791,0.0,0.141,-1.927,0.0318,96.921,4,0.48,sunny
124,Swingin',Swingin',LOVE PSYCHEDELICO,2020-04-15,249433,41,5,1,0.773,0.0242,0.853,0.0,0.203,-3.988,0.0301,123.792,4,0.937,sunny
125,Virtual Insanity - Remastered for 2006,High Times: Singles 1992-2006,Jamiroquai,2006-11-01,229360,0,6,1,0.659,0.123,0.949,0.0,0.133,-4.682,0.105,92.025,4,0.512,sunny
126,新宝島,魚図鑑,sakanaction,2018-03-28,302493,52,7,0,0.557,0.00118,0.917,0.00914,0.419,-3.426,0.0757,158.0,4,0.653,sunny
127,シュガーソングとビターステップ,UNISON SQUARE GARDEN The 1st Collection for streaming,UNISON SQUARE GARDEN,2019-10-11,253226,57,6,1,0.626,0.00369,0.89,0.0,0.0839,-3.285,0.0536,131.997,4,0.849,sunny
128,熱帯夜,FUNFAIR,RIP SLYME,2007-07-25,289946,49,1,1,0.656,0.0705,0.878,0.00104,0.0325,-4.035,0.0471,168.998,4,0.725,sunny
129,上海ハニー,All the Singles,ORANGE RANGE,2010-07-14,175586,0,2,1,0.708,0.0148,0.933,2.78e-05,0.131,-3.462,0.078,129.98,4,0.844,sunny
130,STAY TUNE,THE KIDS,Suchmos,2017-01-25,297333,0,5,1,0.681,0.0288,0.938,0.000264,0.0634,-4.246,0.0557,122.991,4,0.6,sunny
131,TT - Japanese ver.,#TWICE,TWICE,2017-06-28,212989,53,2,1,0.699,0.0807,0.856,8.72e-06,0.44,-3.326,0.0608,129.96,4,0.331,sunny
132,Wake Me Up - Radio Edit,True,Avicii,2013-01-01,247426,0,2,1,0.532,0.0038,0.783,0.0012,0.161,-5.697,0.0523,124.08,4,0.643,sunny
133,ノーダウト,ノーダウト,Official HIGE DANdism,2018-04-11,201866,41,2,1,0.567,0.0763,0.937,0.0,0.326,-3.194,0.0705,149.92,4,0.787,sunny
134,A Perfect Sky,Every Single Day-Complete BONNIE PINK(1995-2006)-,BONNIE PINK,2006-05-10,247666,51,8,1,0.637,0.475,0.774,0.0,0.438,-5.641,0.0645,89.99,4,0.842,sunny
135,星にのせて,Slow & Easy,HIRAIDAI,2015-05-06,238026,51,1,0,0.757,0.724,0.561,0.0,0.869,-6.993,0.079,108.06,4,0.647,sunny
136,お二人Summer,ケツの嵐 ~夏BEST~,Ketsumeishi,2011-12-21,328840,21,1,0,0.673,0.00395,0.858,0.0,0.342,-3.475,0.0327,120.009,4,0.893,sunny
137,また君に会える,ケツの嵐 ~夏BEST~,Ketsumeishi,2011-12-21,340093,21,10,0,0.682,0.0623,0.964,0.0,0.166,-2.727,0.0378,105.988,4,0.878,sunny
138,君にBUMP,ケツの嵐 ~夏BEST~,Ketsumeishi,2011-12-21,371666,18,8,1,0.681,0.127,0.893,1.1e-06,0.0557,-3.336,0.0344,96.014,4,0.864,sunny
139,ENDLESS SUMMER NUDE,I will Survive,Magokoro Brothers,1998-04-22,316706,0,7,1,0.64,0.0079,0.951,2.04e-06,0.335,-6.345,0.0423,116.06,4,0.635,sunny
140,波乗りジョニー,TOP OF THE POPS,Keisuke Kuwata,2002-11-27,267966,48,2,1,0.483,0.0733,0.867,0.0,0.241,-5.546,0.0682,138.187,4,0.713,sunny
141,ボーイフレンド,夏服,aiko,2001-06-20,286773,51,2,1,0.742,0.0786,0.817,0.000114,0.329,-5.531,0.0305,120.04,4,0.834,sunny
142,恋のスーパーボール,aikoの詩。,aiko,2019-06-05,270520,17,6,0,0.659,0.0431,0.817,0.0,0.072,-4.647,0.0377,134.941,4,0.732,sunny
143,Good Time,The Midsummer Station,Owl City,2012-01-01,205933,0,3,1,0.554,0.0216,0.878,5.76e-06,0.362,-4.271,0.134,126.045,4,0.682,sunny
144,I Really Like You,Emotion,Carly Rae Jepsen,2015-06-24,204773,45,5,1,0.622,0.00543,0.808,5.63e-05,0.215,-4.701,0.0418,122.121,4,0.599,sunny
145,What Makes You Beautiful,What Makes You Beautiful,One Direction,2011-10-28,199213,0,4,1,0.725,0.00823,0.778,0.0,0.0731,-2.5,0.082,125.0,4,0.896,sunny
146,She's Kinda Hot,Sounds Good Feels Good (Deluxe),5 Seconds of Summer,2015-10-23,216454,0,4,1,0.666,0.00207,0.903,0.0,0.11,-4.82,0.0308,118.034,4,0.883,sunny
147,Change,Change,ONE OK ROCK,2018-02-16,174627,35,8,1,0.357,0.00245,0.75,0.0,0.372,-4.971,0.0533,89.632,4,0.326,sunny
148,Uptown Funk (feat. Bruno Mars),Uptown Special,Mark Ronson,2015-01-12,269666,84,0,1,0.856,0.00801,0.609,8.15e-05,0.0344,-7.223,0.0824,114.988,4,0.928,sunny
149,Live While We're Young,Live While We're Young,One Direction,2012-09-28,198946,0,2,1,0.66,0.0594,0.839,0.0,0.106,-2.058,0.0546,126.001,4,0.945,sunny
150,I Knew You Were Trouble.,Red (Deluxe Edition),Taylor Swift,2012-10-22,219720,63,3,0,0.622,0.00454,0.469,2.25e-06,0.0335,-6.798,0.0363,77.019,4,0.679,sunny
151,22,Red (Deluxe Edition),Taylor Swift,2012-10-22,232120,61,7,1,0.661,0.00215,0.729,0.0013,0.0477,-6.561,0.0376,103.987,4,0.668,sunny
152,We Are Never Ever Getting Back Together,Red (Deluxe Edition),Taylor Swift,2012-10-22,193146,61,7,1,0.628,0.00957,0.676,2.65e-05,0.121,-5.911,0.0916,85.984,4,0.75,sunny
153,Blank Space,1989 (Deluxe),Taylor Swift,2014-10-27,231826,29,5,1,0.76,0.103,0.703,0.0,0.0913,-5.412,0.054,95.997,4,0.57,sunny
154,Maps,V Japan Special Edition,Maroon 5,2015-07-22,189960,40,1,0,0.742,0.0205,0.713,0.0,0.059,-5.522,0.0303,120.032,4,0.879,sunny
155,Sugar,V Japan Special Edition,Maroon 5,2015-07-22,235493,61,1,1,0.748,0.0591,0.788,0.0,0.0863,-7.055,0.0334,120.076,4,0.884,sunny
156,Good Time,The Midsummer Station,Owl City,2012-01-01,205933,78,3,1,0.56,0.0239,0.872,6.98e-06,0.371,-4.269,0.14,126.05,4,0.682,sunny
