,name,album,artist,release_date,length,popularity,key,mode,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,valence,answer
23,Talking to the Moon,Doo-Wops & Hooligans,Bruno Mars,2010-10-05,217866,78,1,0,0.498,0.511,0.59,0.0,0.107,-4.721,0.032,145.867,4,0.0784,cloudy
24,All I Can Say,All I Can Say,CBS,2019-11-18,274193,28,11,0,0.574,0.0792,0.89,0.0,0.405,-6.945,0.172,92.988,4,0.876,cloudy
25,Made my day,Jasmine,tubakiii,2017-04-19,255000,49,7,1,0.759,0.654,0.412,0.0,0.128,-6.23,0.402,80.028,4,0.938,cloudy
26,Some,Red Diary Page.1,BOL4,2017-09-28,181373,74,1,0,0.659,0.417,0.799,0.0,0.0562,-2.849,0.0629,103.991,4,0.782,cloudy
27,Good Times,Classic Brown Sounds,CBS,2017-07-12,250506,37,8,1,0.619,0.276,0.877,0.0,0.527,-6.937,0.317,90.115,4,0.799,cloudy
28,yes?,member's requests 2009-2017,CBS,2018-01-15,204750,28,1,1,0.781,0.38,0.607,5.58e-05,0.654,-5.762,0.476,81.692,4,0.733,cloudy
29,にじいろ - Acoustic Live Tour 2014 〜3-STAR RAW〜 ver.,にじいろ (Acoustic Live Tour 2014 〜3-STAR RAW〜 ver.),ayaka,2014-12-31,386946,8,2,1,0.384,0.768,0.629,9.88e-06,0.993,-8.447,0.0317,92.747,4,0.457,cloudy
30,インフィニティ,インフィニティ,Yuuri,2021-01-23,245853,55,2,1,0.555,0.228,0.66,0.0,0.215,-5.193,0.0531,177.999,4,0.786,cloudy
31,Life is wonderful,Life is wonderful,Rickie-G,2007-12-05,341653,39,7,1,0.59,0.834,0.431,0.0561,0.0744,-7.155,0.0541,145.587,4,0.455,cloudy
32,猫 ~THE FIRST TAKE ver.~,猫 ~THE FIRST TAKE ver.~,DISH//,2020-04-29,273233,0,8,1,0.641,0.564,0.576,0.0,0.114,-6.772,0.139,77.005,4,0.622,cloudy
33,Better Together,In Between Dreams,Jack Johnson,2005-01-01,207680,71,5,1,0.868,0.308,0.347,2e-05,0.11,-9.529,0.0536,110.059,4,0.659,cloudy
34,Strip That Down (feat. Quavo),LP1,Liam Payne,2019-12-06,202061,70,6,1,0.873,0.199,0.495,0.0,0.0805,-5.446,0.0518,106.033,4,0.546,cloudy
35,LAst dAy oN EaRTh,LAst dAy oN EaRTh,Tai Verdes,2022-01-13,172755,70,5,1,0.494,0.413,0.553,4.17e-05,0.218,-5.57,0.197,82.061,4,0.359,cloudy
36,Like 1999,Like 1999,Valley,2021-03-30,144742,56,7,1,0.733,0.132,0.382,0.0,0.162,-7.955,0.0459,98.027,4,0.517,cloudy
37,Butterfly,"Nevertheless, (Original Drama Soundtrack, Pt. 4)",J.UNA,2021-07-11,194146,58,8,1,0.775,0.451,0.759,0.0,0.108,-4.325,0.0873,126.054,4,0.915,cloudy
38,Budapest,Wanted on Voyage (Expanded Edition),George Ezra,2014-06-30,200733,79,5,1,0.717,0.0846,0.455,0.0,0.11,-8.303,0.0276,127.812,4,0.389,cloudy
39,I Found A Girl - Acoustic,I Found A Girl (Acoustic),The Vamps,2016-04-01,184248,24,11,1,0.705,0.493,0.641,0.0,0.321,-3.432,0.0459,176.036,4,0.65,cloudy
40,Pierce,残響リファレンス,ONE OK ROCK,2011-10-05,265120,40,3,1,0.406,0.316,0.481,0.0,0.0922,-6.164,0.0311,112.264,3,0.235,cloudy
41,Good Goodbye,35xxxv (Deluxe Edition),ONE OK ROCK,2015-09-25,224253,48,6,1,0.609,0.0241,0.564,2e-06,0.0776,-5.344,0.0307,102.005,4,0.33,cloudy
42,Letting Go,Eye of the Storm,ONE OK ROCK,2019-02-13,200253,48,9,1,0.79,0.324,0.688,4.96e-05,0.0862,-6.272,0.0697,98.012,4,0.44,cloudy
43,Worst in Me,Eye of the Storm,ONE OK ROCK,2019-02-13,189866,41,5,0,0.553,0.174,0.855,1.13e-06,0.136,-4.039,0.0457,155.423,4,0.526,cloudy
44,"A new one for all, All for the new one",ゼイタクビョウ,ONE OK ROCK,2007-11-21,285933,0,0,1,0.513,0.0232,0.394,0.0,0.282,-7.622,0.0318,179.942,4,0.247,cloudy
45,Be the light,人生×僕=,ONE OK ROCK,2013-03-06,338920,49,10,1,0.454,0.00742,0.876,0.0,0.0854,-4.045,0.0403,82.022,4,0.42,cloudy
46,O2,EXIST!,[Alexandros],2016-11-09,253200,21,9,1,0.3,0.874,0.344,0.000535,0.182,-11.253,0.032,64.215,4,0.196,cloudy
47,12/26以降の年末ソング,Schwarzenegger,[Alexandros],2012-04-04,339000,22,7,1,0.585,0.229,0.613,3.34e-06,0.118,-6.58,0.029,119.982,4,0.321,cloudy
48,美術館,City,[Alexandros],2010-07-07,302466,16,2,1,0.448,0.801,0.412,1.89e-05,0.329,-9.999,0.0354,141.999,4,0.153,cloudy
49,rooftop,Bedroom Joule,[Alexandros],2020-06-21,324040,29,1,1,0.56,0.497,0.407,0.00114,0.102,-10.766,0.0316,79.067,4,0.105,cloudy
50,PARTY IS OVER,Sleepless in Brooklyn,[Alexandros],2018-11-21,246226,35,9,1,0.626,0.000747,0.526,0.0,0.185,-5.571,0.0928,92.073,4,0.64,cloudy
51,LAST MINUTE,Sleepless in Brooklyn,[Alexandros],2018-11-21,277373,31,9,1,0.598,0.00138,0.918,0.188,0.391,-4.55,0.0712,102.962,4,0.514,cloudy
52,Leaving Grapefruits,ALXD,[Alexandros],2015-06-17,248333,39,6,1,0.667,0.136,0.789,0.0,0.0675,-5.596,0.0338,101.042,4,0.81,cloudy
53,Oblivion,ALXD,[Alexandros],2015-06-17,218160,32,11,1,0.488,9.64e-05,0.912,0.000993,0.608,-5.284,0.0491,144.999,4,0.401,cloudy
54,can't explain,ALXD,[Alexandros],2015-06-17,178226,27,3,1,0.486,0.00168,0.893,0.0,0.109,-4.154,0.0592,149.85,4,0.662,cloudy
55,Letter,Tragicomedy,SHE'S,2020-07-01,262386,52,1,1,0.605,0.271,0.647,0.359,0.108,-6.679,0.0245,112.038,4,0.495,cloudy
56,White,Wandering,SHE'S,2017-12-06,262173,45,3,1,0.613,0.134,0.677,0.000417,0.0767,-5.751,0.025,109.995,4,0.248,cloudy
57,One,Tragicomedy,SHE'S,2020-07-01,270133,33,0,1,0.584,0.185,0.768,4.28e-05,0.368,-5.088,0.0319,95.037,4,0.517,cloudy
58,Your Song,Tragicomedy,SHE'S,2020-07-01,281386,36,1,1,0.4,0.00281,0.811,0.0919,0.0722,-4.816,0.0348,183.634,4,0.466,cloudy
59,鋼の羽根,鋼の羽根,RADWIMPS,2021-04-05,318319,40,7,1,0.517,0.677,0.504,0.0,0.23,-6.709,0.0598,153.749,4,0.409,cloudy
60,猫じゃらし,猫じゃらし,RADWIMPS,2020-04-06,269773,42,4,1,0.501,0.895,0.462,7.74e-05,0.118,-9.098,0.0411,149.952,4,0.27,cloudy
61,あいたい,2+0+2+1+3+1+1= 10 years 10 songs,RADWIMPS,2021-03-11,309000,41,0,1,0.503,0.681,0.117,0.0,0.346,-9.519,0.0387,78.068,4,0.365,cloudy
62,かくれんぼ,2+0+2+1+3+1+1= 10 years 10 songs,RADWIMPS,2021-03-11,375680,35,7,1,0.523,0.689,0.413,0.0,0.35,-6.807,0.036,148.04,4,0.275,cloudy
63,夜の淵,2+0+2+1+3+1+1= 10 years 10 songs,RADWIMPS,2021-03-11,239973,30,10,1,0.554,0.871,0.222,0.000693,0.277,-13.004,0.0345,147.657,4,0.229,cloudy
64,Teenage Love,HOURGLASS,UVERworld,2021-03-10,211493,32,6,0,0.643,0.0138,0.605,0.000176,0.0762,-6.617,0.0685,150.012,4,0.726,cloudy
65,1999,1999,Hitsujibungaku,2018-12-05,289060,0,11,0,0.54,0.189,0.767,3.37e-06,0.122,-4.075,0.0354,132.0,4,0.39,cloudy
66,冬のあとがき,冬のあとがき,Ibe CALLER,2020-11-02,279333,0,1,1,0.509,0.485,0.62,1.29e-06,0.108,-4.656,0.0317,75.015,4,0.463,cloudy
67,小さな惑星,CEREMONY,King Gnu,2020-01-15,151773,0,11,1,0.615,0.0781,0.953,0.0194,0.198,-2.996,0.0545,119.957,4,0.766,cloudy
68,ユーモア,CEREMONY,King Gnu,2020-01-15,207426,0,10,0,0.73,0.806,0.731,4.42e-05,0.242,-6.325,0.0907,105.053,4,0.737,cloudy
69,傘,CEREMONY,King Gnu,2020-01-15,203213,0,10,1,0.707,0.378,0.88,0.0,0.0459,-4.322,0.0486,105.082,4,0.686,cloudy
70,Don't Stop the Clocks,Sympa,King Gnu,2019-01-16,136773,0,0,1,0.528,0.801,0.33,1.95e-06,0.573,-9.24,0.0307,132.088,4,0.543,cloudy
71,NIGHT POOL,Tokyo Rendez-Vous,King Gnu,2017-10-20,130345,0,0,1,0.477,0.338,0.379,0.0844,0.148,-13.023,0.0325,69.999,4,0.1,cloudy
72,廻廻奇譚,廻廻奇譚,Eve,2020-10-03,219234,58,5,0,0.565,0.0128,0.919,0.0,0.292,-3.378,0.0898,92.325,4,0.565,cloudy
73,インターネットは最悪,インターネットは最悪,こじらせハラスメント,2021-10-11,225000,28,3,1,0.758,0.257,0.634,0.0,0.0684,-10.429,0.0277,96.03,4,0.924,cloudy
74,カトラリー,カトラリー,ewe,2018-04-06,238888,37,1,1,0.708,0.0345,0.727,1.37e-06,0.0666,-5.445,0.0516,108.012,4,0.882,cloudy
75,ガランド,My Gift for You,NORISTRY,2019-01-04,171000,36,7,1,0.466,0.42,0.802,0.000146,0.306,-4.094,0.173,186.132,4,0.655,cloudy
76,チュルリラ・チュルリラ・ダッダッダ!,わたしの未成年観測,WADATAKEAKI KurageP,2018-03-14,196466,49,1,0,0.543,0.00167,0.93,0.000334,0.301,-4.043,0.0971,109.743,4,0.269,cloudy
77,ミルククラウン・オン・ソーネチカ,ミルククラウン・オン・ソーネチカ,YUZY,2014-06-30,216544,46,1,0,0.572,0.0415,0.966,0.0,0.179,-3.286,0.0363,127.486,4,0.933,cloudy
78,自傷無色,シノニムとヒポクリト,sasanomaly,2014-10-15,217142,44,3,0,0.426,0.0633,0.488,0.0,0.134,-6.297,0.0368,120.034,4,0.825,cloudy
79,オルターエゴ,オルターエゴ,Misumi,2021-03-03,222954,48,0,1,0.482,0.0782,0.889,0.000965,0.392,-5.325,0.0392,175.997,4,0.55,cloudy
80,夜咄ディセイブ,メカクシティレコーズ,Jin,2013-05-29,197200,41,11,0,0.501,0.000547,0.968,0.0012,0.259,-3.576,0.207,129.895,4,0.778,cloudy
81,からくりピエロ -初音ミク「マジカルミライ 2014」Live-,初音ミク「マジカルミライ 2014」 [Live],Various Artists,2015-02-25,195048,50,7,0,0.48,0.458,0.855,2.16e-06,0.78,-4.107,0.086,203.921,4,0.619,cloudy
82,ツギハギスタッカート,ツギハギスタッカート,toa,2014-08-22,250359,55,7,1,0.898,0.555,0.777,0.0,0.312,-7.245,0.0566,138.987,4,0.934,cloudy
83,ウミユリ海底譚,花と水飴、最終電車,n-buna,2015-07-22,236068,53,0,0,0.6,0.166,0.966,2.02e-06,0.324,-3.228,0.0431,120.008,4,0.965,cloudy
84,ロウワー,ロウワー,ぬゆり,2021-11-09,230000,58,10,0,0.62,0.0355,0.944,8.95e-05,0.206,-3.361,0.134,132.05,4,0.801,cloudy
85,potatoになっていく (feat. 天馬司&鳳えむ&草薙寧々&神代類&初音ミク),セカイはまだ始まってすらいない/potatoになっていく,ワンダーランズ×ショウタイム,2021-07-21,187500,60,1,1,0.795,0.513,0.85,0.000424,0.0687,-6.483,0.0918,115.991,4,0.741,cloudy
86,たぶん,THE BOOK,YOASOBI,2021-01-06,256773,68,5,1,0.748,0.157,0.661,0.00102,0.101,-6.702,0.0334,90.003,4,0.743,cloudy
87,ハルジオン,THE BOOK,YOASOBI,2021-01-06,198600,63,8,1,0.687,0.0545,0.873,0.0,0.318,-3.852,0.0335,130.024,4,0.884,cloudy
88,ダウナーウィッチ,ダウナーウィッチ,廉,2020-11-06,213915,39,4,0,0.363,0.133,0.747,1.06e-05,0.149,-6.035,0.0378,151.873,4,0.931,cloudy
89,エンヴィーベイビー,エンヴィーベイビー,Kanaria,2021-02-13,135789,55,6,0,0.637,0.0424,0.66,0.0126,0.278,-7.155,0.114,170.936,4,0.893,cloudy
90,蜜ノ味,シナスタジア,Rain Drops,2020-05-13,180133,35,1,0,0.732,0.0122,0.767,4.48e-05,0.0279,-2.97,0.0301,109.03,4,0.866,cloudy
91,リテラシー,リテラシー,wotaku,2021-07-24,210461,32,1,0,0.574,0.00864,0.914,1.8e-05,0.156,-4.509,0.0428,130.006,4,0.852,cloudy
92,フィクサー,plotoplan,ぬゆり,2017-12-29,247111,49,11,0,0.656,0.167,0.918,1.97e-06,0.333,-4.051,0.089,134.962,4,0.689,cloudy
93,旧約汎化街,旧約汎化街,柊マグネタイト,2020-10-30,352554,23,7,1,0.47,0.00425,0.953,0.405,0.102,-3.376,0.0556,137.004,4,0.482,cloudy
94,終焉逃避行,終焉逃避行,柊マグネタイト,2020-12-11,179591,36,6,0,0.463,0.0027,0.865,0.000325,0.0849,-1.532,0.0508,147.055,4,0.792,cloudy
95,凹面黙示録,凹面黙示録,柊マグネタイト,2021-06-02,202285,21,1,0,0.32,0.32,0.857,0.0,0.369,-3.084,0.079,174.998,4,0.185,cloudy
96,フラジール,plotoplan,ぬゆり,2017-12-29,270236,48,5,0,0.651,0.0641,0.857,0.0,0.393,-6.184,0.0726,127.007,4,0.923,cloudy
97,懺悔参り,浮世巡り,Maigo Hanyuu,2018-10-03,201533,0,7,1,0.645,0.214,0.819,0.00073,0.339,-4.205,0.0474,139.93,4,0.651,cloudy
98,悔やむと書いてミライ (feat. 宵崎奏&朝比奈まふゆ&東雲絵名&暁山瑞希&初音ミク),悔やむと書いてミライ/携帯恋話/ジャックポットサッドガール,25時、ナイトコードで。,2021-08-04,229100,53,4,0,0.593,0.0501,0.979,0.0,0.144,-4.13,0.186,97.049,4,0.289,cloudy
99,携帯恋話 (feat. 東雲絵名&暁山瑞希&初音ミク),悔やむと書いてミライ/携帯恋話/ジャックポットサッドガール,25時、ナイトコードで。,2021-08-04,253301,54,10,0,0.596,0.241,0.899,1.06e-05,0.184,-5.3,0.106,149.992,4,0.786,cloudy
100,ジャックポットサッドガール (feat. 宵崎奏&朝比奈まふゆ&東雲絵名&暁山瑞希&初音ミク),悔やむと書いてミライ/携帯恋話/ジャックポットサッドガール,25時、ナイトコードで。,2021-08-04,183500,58,11,0,0.559,0.00736,0.936,6.29e-05,0.329,-4.781,0.0501,203.982,4,0.946,cloudy
101,ジャンキーナイトタウンオーケストラ,HEAUTOSCOPY,すりぃ,2021-03-03,215336,39,3,0,0.582,0.0166,0.954,0.0,0.155,-4.689,0.0546,144.967,4,0.922,cloudy
102,空中分解,HEAUTOSCOPY,すりぃ,2021-03-03,169913,38,10,0,0.599,0.0197,0.818,0.0,0.132,-7.365,0.0391,100.06,4,0.886,cloudy
103,リテラシー (feat. KAITO),リテラシー,wotaku,2021-08-04,210461,30,1,0,0.616,0.00325,0.842,0.000774,0.138,-4.912,0.0485,130.016,4,0.826,cloudy
104,エゴロック,HEAUTOSCOPY,すりぃ,2021-03-03,169986,52,0,0,0.636,0.012,0.907,0.0,0.25,-6.663,0.0643,112.463,4,0.822,cloudy
105,テレキャスタービーボーイ,HEAUTOSCOPY,すりぃ,2021-03-03,165306,48,8,0,0.557,0.116,0.793,0.0,0.253,-5.043,0.0647,181.97,4,0.961,cloudy
106,ビーバー,HEAUTOSCOPY,すりぃ,2021-03-03,230943,31,7,0,0.757,0.224,0.875,3.98e-06,0.268,-5.911,0.0391,130.008,4,0.916,cloudy
107,群青,群青,YOASOBI,2020-09-01,248444,66,10,1,0.719,0.321,0.87,0.0,0.187,-3.073,0.0472,134.979,4,0.732,cloudy
108,エンドロール,Gänger,夏代孝明,2018-11-14,262000,39,2,1,0.536,0.0591,0.925,0.0,0.14,-2.555,0.0464,154.982,4,0.87,cloudy
109,君になりたいから,It'sLie,緑仙,2021-02-14,298290,23,11,1,0.439,0.0146,0.507,0.0,0.143,-4.656,0.03,175.89,4,0.391,cloudy
110,イツライ,It'sLie,緑仙,2021-02-14,195200,34,5,1,0.615,0.0999,0.955,0.0,0.15,-1.251,0.0541,150.001,4,0.823,cloudy
111,大人禁猟区,恋色同盟,HoneyWorks,2020-01-14,232992,17,6,0,0.585,0.0543,0.927,0.000129,0.0815,-1.739,0.0686,172.032,4,0.72,cloudy
112,醜い生き物,醜い生き物,CHiCO with HoneyWorks,2021-01-20,220626,43,7,1,0.336,0.000727,0.966,2.85e-06,0.352,-1.497,0.109,97.211,4,0.37,cloudy
113,鬼ノ森,鬼ノ森,CHiCO with HoneyWorks,2021-01-20,275640,32,5,1,0.413,0.662,0.507,0.0,0.173,-4.542,0.0276,75.137,4,0.229,cloudy
114,泥の分際で私だけの大切を奪おうだなんて,泥の分際で私だけの大切を奪おうだなんて,TUYU,2020-08-24,192266,43,3,1,0.603,0.303,0.943,0.0,0.279,-2.511,0.0479,112.488,4,0.902,cloudy
115,ゴーストルール,GHOST,DECO*27,2016-09-28,210000,50,2,1,0.564,0.0279,0.894,0.0,0.281,-4.596,0.0601,104.955,4,0.472,cloudy
116,flos,Quartia,R Sound Design,2018-10-03,274576,45,1,0,0.617,0.308,0.749,0.0,0.0719,-2.652,0.0518,118.031,4,0.757,cloudy
117,命ばっかり,plotoplan,ぬゆり,2017-12-29,252187,46,4,0,0.624,0.00805,0.958,0.0,0.305,-4.959,0.0496,127.988,4,0.967,cloudy
118,幽霊東京,幽霊東京 (digital edition),Ayase,2019-11-23,204213,45,0,0,0.744,0.0584,0.82,0.0,0.313,-5.481,0.0294,123.936,4,0.919,cloudy
119,独りんぼエンヴィー,sincere (selection),DAZBEE,2018-01-24,205000,42,11,1,0.493,0.215,0.633,0.0,0.0662,-3.252,0.0422,131.903,4,0.763,cloudy
120,孤独の宗教,必死,syudou,2020-11-25,190555,41,4,0,0.66,0.067,0.89,2.36e-05,0.345,-3.926,0.0843,108.018,4,0.886,cloudy
121,トリコロージュ,トリコロージュ,煮ル果実,2022-02-10,261230,45,1,0,0.64,0.0134,0.904,1e-05,0.228,-3.512,0.0401,129.99,4,0.745,cloudy
122,ノマド,ノマド,balloon,2022-03-28,232145,45,9,0,0.666,0.0493,0.604,2.46e-06,0.119,-5.771,0.0297,89.876,4,0.459,cloudy
123,とても素敵な六月でした,コバルトブルーの白昼夢,Eight,2014-04-26,283426,37,8,1,0.599,0.0606,0.947,0.0,0.314,-3.37,0.0651,104.98,4,0.582,cloudy
124,命に嫌われている,白紙,カンザキイオリ,2021-08-11,268166,37,0,1,0.731,0.151,0.786,2.96e-06,0.35,-6.142,0.0395,99.97,4,0.941,cloudy
125,ジェヘナ (feat. 初音ミク),トラゴイディア,wotaku,2021-12-01,246438,51,11,1,0.702,0.356,0.938,0.0,0.359,-2.723,0.0665,128.001,4,0.962,cloudy
126,あわよくばきみの眷属になりたいな,Immortal Club,Peg,2019-11-17,186820,37,9,0,0.698,0.106,0.742,0.0,0.214,-6.002,0.0389,124.955,4,0.931,cloudy
127,ビターチョコデコレーション,最悪,syudou,2019-04-28,197931,56,4,0,0.525,0.00938,0.906,2.59e-05,0.255,-1.736,0.132,86.92,4,0.844,cloudy
128,アイデンティティ,アイデンティティ,Kanaria,2022-01-14,155692,61,7,1,0.735,0.0515,0.765,0.000105,0.269,-6.418,0.0486,97.472,4,0.51,cloudy
129,シネマ (feat. 小豆沢こはね&白石杏&東雲彰人&青柳冬弥&KAITO),RAD DOGS/シネマ,Vivid BAD SQUAD,2021-11-17,211000,57,9,0,0.62,0.012,0.835,0.0,0.188,-7.326,0.0338,124.022,4,0.87,cloudy
130,魔法少女とチョコレゐト,魔法少女とチョコレゐト,PinocchioP,2022-02-26,187600,53,6,0,0.646,0.0866,0.863,0.0,0.861,-7.107,0.0531,150.086,4,0.886,cloudy
131,CapSule,CapSule,Mori Calliope,2022-04-04,174842,56,1,1,0.796,0.0261,0.841,0.0,0.24,-4.486,0.0475,119.99,4,0.631,cloudy
132,エリート,エリート,Chinozo,2021-11-03,169999,48,8,1,0.766,0.0197,0.568,0.0,0.0633,-8.133,0.0366,119.97,4,0.858,cloudy
133,マーシャル・マキシマイザー,KAF+YOU KAFU COMPILATION ALBUM シンメトリー,Various Artists,2021-12-18,163686,53,10,0,0.679,0.0387,0.872,0.000338,0.575,-5.489,0.0565,95.024,4,0.529,cloudy
134,アイディスマイル,アイディスマイル,toa,2021-05-20,181052,39,7,1,0.648,0.239,0.561,2.82e-06,0.054,-8.941,0.0532,170.978,4,0.807,cloudy
135,ショウタイム・ルーラー,ショウタイム・ルーラー,Karasuya Sabou,2022-01-12,213784,39,4,0,0.529,0.0784,0.969,0.0,0.26,-1.837,0.0682,102.015,4,0.459,cloudy
136,フィクサー (feat. 天馬司&神代類),ワンダーランズ×ショウタイム SEKAI ALBUM vol.1(Selected Edition),ワンダーランズ×ショウタイム,2022-02-02,244053,49,7,1,0.719,0.0715,0.894,0.0,0.359,-6.024,0.0634,134.987,4,0.637,cloudy
137,ブリキノダンス (feat. 天馬司&神代類&鏡音レン),ワンダーランズ×ショウタイム SEKAI ALBUM vol.1(Selected Edition),ワンダーランズ×ショウタイム,2022-02-02,198200,53,9,0,0.546,0.0224,0.96,0.0,0.166,-4.584,0.0525,171.992,4,0.908,cloudy
138,PaIII.SENSATION,Black or White,Yunosuke,2017-11-11,232343,42,6,1,0.475,0.0134,0.972,7.19e-06,0.0625,-3.423,0.0888,179.999,4,0.649,cloudy
139,あんずの花,あんずの花,すりぃ,2021-05-26,239216,33,10,0,0.745,0.203,0.832,0.0,0.263,-3.44,0.0477,104.026,4,0.761,cloudy
140,死んでしまったのだろうか - self cover,あの夏の記憶だけ,Guiano,2020-08-12,211040,31,2,1,0.772,0.102,0.79,1.27e-05,0.15,-5.46,0.0606,101.015,4,0.645,cloudy
141,流星のパルス (feat. 鏡音レン),流星のパルス,*Luna,2021-10-13,285657,42,7,1,0.488,0.000307,0.796,0.00524,0.247,-5.426,0.038,96.033,4,0.551,cloudy
142,絶え間なく藍色,絶え間なく藍色,獅子志司,2020-02-23,220800,38,3,1,0.687,0.466,0.738,0.0,0.199,-2.933,0.0627,124.995,4,0.695,cloudy
143,イノコリ先生,debut,flower,2014-10-01,310360,28,6,0,0.609,0.0292,0.847,0.0,0.0678,-3.902,0.0878,162.035,4,0.713,cloudy
144,脱獄,マイネームイズラヴソング,Neru,2015-09-30,227120,35,1,1,0.493,0.00152,0.938,0.0,0.328,-3.003,0.139,94.59,4,0.571,cloudy
145,延命治療,世界征服,Neru,2013,213333,22,7,0,0.26,0.0096,0.938,9.81e-06,0.309,-2.897,0.0782,90.28,4,0.63,cloudy
146,君の神様になりたい,白紙,カンザキイオリ,2021-08-11,255533,42,5,1,0.473,0.102,0.888,0.0539,0.292,-5.491,0.0657,190.036,4,0.962,cloudy
147,絶え間なく藍色 - VOCALOID ver.,有夜無夜 -VOCALOID ver.-,獅子志司,2021-04-07,219776,27,7,0,0.692,0.239,0.739,4.13e-06,0.187,-3.532,0.0415,125.063,4,0.699,cloudy
148,あの夏が飽和する,白紙,カンザキイオリ,2021-08-11,376800,37,10,1,0.481,0.197,0.767,9.69e-05,0.0426,-6.85,0.0459,180.032,4,0.611,cloudy
149,阿吽のビーツ,合成音声ONGAKUの世界,Various Artists,2018-03-14,205506,36,11,0,0.589,0.216,0.748,7.41e-06,0.104,-4.923,0.14,205.797,4,0.797,cloudy
